segment Georgia
34.48 -82.947
34.486 -82.941
34.484 -82.928
34.482 -82.926
34.481 -82.923
34.485 -82.908
34.486 -82.903
34.479 -82.883
34.475 -82.877
34.474 -82.876
34.472 -82.874
34.469 -82.875
34.468 -82.876
34.466 -82.876
34.464 -82.875
34.46 -82.865
34.459 -82.862
34.458 -82.862
34.457 -82.861
34.454 -82.861
34.451 -82.861
34.45 -82.86
34.444 -82.856
34.432 -82.854
34.427 -82.851
34.424 -82.849
34.421 -82.848
34.412 -82.847
34.4 -82.842
34.397 -82.841
34.393 -82.842
34.392 -82.842
34.391 -82.842
34.39 -82.842
34.389 -82.841
34.388 -82.84
34.383 -82.837
34.382 -82.837
34.374 -82.835
34.369 -82.835
34.366 -82.835
34.364 -82.834
34.359 -82.823
34.354 -82.815
34.35 -82.81
34.341 -82.798
34.341 -82.795
34.34 -82.794
34.331 -82.791
34.327 -82.792
34.324 -82.791
34.31 -82.787
34.303 -82.782
34.297 -82.78
34.29 -82.775
34.289 -82.774
34.285 -82.771
34.282 -82.765
34.282 -82.763
34.281 -82.762
34.276 -82.755
34.271 -82.75
34.266 -82.747
34.264 -82.749
34.263 -82.749
34.26 -82.747
34.256 -82.746
34.252 -82.744
34.245 -82.745
34.243 -82.745
34.239 -82.744
34.23 -82.742
34.227 -82.743
34.225 -82.744
34.22 -82.74
34.218 -82.741
34.214 -82.742
34.21 -82.742
34.208 -82.741
34.195 -82.733
34.193 -82.732
34.181 -82.732
34.179 -82.732
34.178 -82.732
34.176 -82.731
34.17 -82.725
34.166 -82.723
34.164 -82.723
34.151 -82.718
34.148 -82.715
34.141 -82.704
34.139 -82.7
34.139 -82.696
34.139 -82.692
34.138 -82.69
34.134 -82.686
34.132 -82.677
34.13 -82.675
34.12 -82.668
34.115 -82.667
34.114 -82.667
34.113 -82.667
34.111 -82.665
34.108 -82.662
34.107 -82.661
34.107 -82.66
34.104 -82.659
34.103 -82.659
34.1 -82.654
34.1 -82.652
34.099 -82.648
34.098 -82.647
34.092 -82.642
34.091 -82.641
34.089 -82.641
34.088 -82.641
34.088 -82.64
34.086 -82.64
34.081 -82.643
34.079 -82.645
34.076 -82.646
34.075 -82.645
34.074 -82.645
34.072 -82.644
34.071 -82.643
34.068 -82.641
34.065 -82.636
34.065 -82.634
34.065 -82.633
34.066 -82.631
34.065 -82.629
34.063 -82.627
34.059 -82.622
34.057 -82.621
34.054 -82.621
34.051 -82.619
34.047 -82.613
34.04 -82.61
34.035 -82.603
34.031 -82.596
34.029 -82.595
34.026 -82.594
34.019 -82.596
34.016 -82.596
34.013 -82.594
34.01 -82.593
34.009 -82.592
34 -82.589
33.997 -82.586
33.995 -82.583
33.994 -82.578
33.993 -82.576
33.992 -82.576
33.991 -82.575
33.99 -82.576
33.989 -82.578
33.987 -82.58
33.985 -82.581
33.982 -82.581
33.98 -82.58
33.977 -82.578
33.974 -82.575
33.971 -82.57
33.969 -82.568
33.964 -82.566
33.959 -82.566
33.956 -82.565
33.945 -82.557
33.944 -82.554
33.941 -82.543
33.942 -82.54
33.944 -82.534
33.944 -82.527
33.943 -82.525
33.937 -82.513
33.931 -82.508
33.926 -82.504
33.913 -82.496
33.91 -82.493
33.903 -82.481
33.902 -82.48
33.893 -82.47
33.886 -82.459
33.882 -82.455
33.878 -82.448
33.875 -82.44
33.874 -82.439
33.867 -82.431
33.866 -82.429
33.866 -82.428
33.865 -82.426
33.864 -82.423
33.864 -82.419
33.864 -82.418
33.865 -82.417
33.865 -82.414
33.866 -82.408
33.865 -82.404
33.863 -82.401
33.859 -82.396
33.857 -82.391
33.854 -82.385
33.851 -82.38
33.846 -82.374
33.844 -82.372
33.842 -82.369
33.839 -82.358
33.836 -82.352
33.834 -82.347
33.827 -82.338
33.822 -82.328
33.82 -82.325
33.82 -82.324
33.811 -82.315
33.809 -82.313
33.806 -82.309
33.803 -82.303
33.801 -82.3
33.799 -82.299
33.797 -82.299
33.796 -82.299
33.795 -82.299
33.786 -82.3
33.785 -82.299
33.784 -82.298
33.782 -82.295
33.782 -82.292
33.782 -82.29
33.78 -82.286
33.776 -82.281
33.772 -82.278
33.768 -82.27
33.768 -82.268
33.767 -82.267
33.767 -82.266
33.766 -82.265
33.763 -82.264
33.762 -82.263
33.76 -82.259
33.76 -82.258
33.76 -82.255
33.753 -82.247
33.746 -82.246
33.735 -82.24
33.731 -82.239
33.714 -82.236
33.708 -82.237
33.7 -82.235
33.689 -82.223
33.686 -82.219
33.684 -82.217
33.677 -82.212
33.672 -82.21
33.67 -82.208
33.665 -82.201
33.662 -82.2
33.658 -82.2
33.647 -82.201
33.631 -82.197
33.621 -82.186
33.616 -82.18
33.615 -82.179
33.613 -82.174
33.611 -82.164
33.611 -82.163
33.611 -82.162
33.61 -82.158
33.609 -82.156
33.606 -82.153
33.601 -82.151
33.598 -82.149
33.594 -82.143
33.591 -82.135
33.591 -82.134
33.59 -82.132
33.59 -82.13
33.59 -82.129
33.59 -82.128
33.59 -82.127
33.591 -82.126
33.591 -82.125
33.595 -82.12
33.596 -82.117
33.596 -82.116
33.597 -82.109
33.596 -82.106
33.586 -82.099
33.584 -82.096
33.583 -82.094
33.581 -82.087
33.578 -82.076
33.578 -82.073
33.575 -82.069
33.567 -82.058
33.566 -82.056
33.565 -82.055
33.565 -82.054
33.565 -82.049
33.564 -82.046
33.555 -82.037
33.549 -82.035
33.546 -82.033
33.545 -82.028
33.541 -82.023
33.538 -82.023
33.535 -82.02
33.532 -82.012
33.53 -82.01
33.523 -82.008
33.523 -82.007
33.522 -82.004
33.52 -82.001
33.504 -81.992
33.501 -81.99
33.498 -81.991
33.494 -81.991
33.49 -81.989
33.487 -81.986
33.485 -81.982
33.484 -81.981
33.483 -81.974
33.481 -81.967
33.476 -81.955
33.472 -81.946
33.47 -81.942
33.468 -81.934
33.466 -81.929
33.463 -81.926
33.452 -81.921
33.444 -81.915
33.442 -81.914
33.441 -81.914
33.44 -81.913
33.438 -81.913
33.437 -81.913
33.437 -81.914
33.436 -81.914
33.434 -81.915
33.434 -81.916
33.433 -81.916
33.433 -81.917
33.431 -81.92
33.431 -81.921
33.429 -81.925
33.427 -81.927
33.423 -81.927
33.419 -81.925
33.417 -81.921
33.416 -81.919
33.413 -81.919
33.411 -81.92
33.41 -81.921
33.408 -81.923
33.407 -81.931
33.406 -81.935
33.404 -81.937
33.401 -81.937
33.398 -81.935
33.38 -81.931
33.377 -81.927
33.374 -81.925
33.371 -81.926
33.368 -81.931
33.369 -81.935
33.373 -81.94
33.372 -81.944
33.371 -81.946
33.367 -81.947
33.364 -81.945
33.36 -81.94
33.356 -81.935
33.352 -81.936
33.35 -81.938
33.348 -81.94
33.345 -81.94
33.344 -81.938
33.344 -81.937
33.344 -81.933
33.344 -81.93
33.345 -81.925
33.344 -81.923
33.342 -81.918
33.341 -81.918
33.334 -81.919
33.333 -81.918
33.33 -81.913
33.328 -81.911
33.325 -81.91
33.324 -81.909
33.324 -81.906
33.327 -81.904
33.329 -81.903
33.33 -81.903
33.331 -81.9
33.33 -81.898
33.328 -81.897
33.324 -81.897
33.322 -81.897
33.319 -81.89
33.317 -81.887
33.31 -81.884
33.307 -81.876
33.313 -81.87
33.314 -81.868
33.314 -81.867
33.314 -81.866
33.31 -81.854
33.307 -81.847
33.306 -81.847
33.304 -81.846
33.3 -81.85
33.299 -81.852
33.3 -81.853
33.3 -81.857
33.298 -81.862
33.289 -81.863
33.288 -81.863
33.287 -81.862
33.286 -81.861
33.284 -81.852
33.279 -81.844
33.273 -81.838
33.269 -81.838
33.267 -81.84
33.267 -81.843
33.266 -81.847
33.264 -81.848
33.251 -81.853
33.248 -81.852
33.242 -81.847
33.24 -81.841
33.238 -81.837
33.234 -81.832
33.229 -81.828
33.227 -81.82
33.224 -81.812
33.223 -81.81
33.219 -81.808
33.214 -81.808
33.213 -81.807
33.211 -81.805
33.208 -81.79
33.208 -81.785
33.21 -81.779
33.211 -81.778
33.215 -81.777
33.218 -81.78
33.22 -81.781
33.221 -81.78
33.222 -81.778
33.221 -81.774
33.22 -81.772
33.217 -81.769
33.217 -81.768
33.216 -81.768
33.213 -81.767
33.204 -81.764
33.203 -81.763
33.202 -81.762
33.2 -81.758
33.198 -81.757
33.189 -81.761
33.188 -81.763
33.188 -81.766
33.187 -81.766
33.181 -81.772
33.18 -81.772
33.171 -81.767
33.166 -81.764
33.16 -81.763
33.159 -81.763
33.152 -81.755
33.148 -81.751
33.141 -81.744
33.13 -81.725
33.129 -81.724
33.127 -81.721
33.125 -81.718
33.124 -81.717
33.116 -81.705
33.116 -81.703
33.117 -81.7
33.117 -81.697
33.113 -81.684
33.103 -81.659
33.103 -81.658
33.099 -81.653
33.095 -81.646
33.093 -81.643
33.093 -81.642
33.093 -81.64
33.093 -81.638
33.093 -81.637
33.093 -81.635
33.094 -81.632
33.094 -81.628
33.095 -81.618
33.095 -81.615
33.094 -81.613
33.093 -81.611
33.09 -81.609
33.087 -81.61
33.085 -81.61
33.083 -81.61
33.082 -81.61
33.082 -81.609
33.082 -81.607
33.085 -81.604
33.085 -81.602
33.084 -81.6
33.081 -81.598
33.079 -81.598
33.077 -81.599
33.076 -81.6
33.075 -81.6
33.073 -81.6
33.072 -81.599
33.07 -81.595
33.07 -81.594
33.07 -81.593
33.071 -81.591
33.071 -81.589
33.067 -81.584
33.063 -81.581
33.059 -81.578
33.054 -81.573
33.054 -81.569
33.054 -81.567
33.055 -81.565
33.055 -81.564
33.056 -81.563
33.056 -81.562
33.056 -81.561
33.055 -81.561
33.054 -81.559
33.053 -81.559
33.052 -81.559
33.049 -81.56
33.047 -81.559
33.046 -81.558
33.045 -81.557
33.044 -81.554
33.045 -81.552
33.046 -81.549
33.047 -81.547
33.047 -81.544
33.045 -81.543
33.045 -81.542
33.041 -81.54
33.039 -81.539
33.029 -81.52
33.029 -81.513
33.028 -81.511
33.015 -81.502
33.009 -81.492
33.008 -81.491
32.998 -81.491
32.995 -81.491
32.979 -81.495
32.965 -81.499
32.964 -81.5
32.963 -81.501
32.963 -81.503
32.963 -81.505
32.962 -81.506
32.961 -81.507
32.96 -81.507
32.959 -81.508
32.958 -81.508
32.957 -81.509
32.956 -81.508
32.954 -81.508
32.951 -81.507
32.948 -81.504
32.945 -81.499
32.944 -81.5
32.939 -81.503
32.935 -81.502
32.933 -81.5
32.932 -81.495
32.922 -81.483
32.913 -81.48
32.906 -81.479
32.901 -81.469
32.9 -81.466
32.898 -81.464
32.896 -81.465
32.891 -81.471
32.89 -81.472
32.887 -81.477
32.881 -81.479
32.878 -81.476
32.876 -81.47
32.877 -81.468
32.875 -81.461
32.874 -81.454
32.873 -81.453
32.869 -81.451
32.86 -81.453
32.854 -81.456
32.85 -81.454
32.848 -81.453
32.848 -81.451
32.849 -81.449
32.851 -81.445
32.851 -81.444
32.85 -81.443
32.841 -81.426
32.835 -81.422
32.831 -81.421
32.818 -81.418
32.816 -81.418
32.814 -81.42
32.811 -81.424
32.802 -81.425
32.794 -81.425
32.79 -81.425
32.788 -81.427
32.788 -81.428
32.786 -81.429
32.784 -81.429
32.783 -81.428
32.782 -81.427
32.781 -81.426
32.78 -81.424
32.779 -81.422
32.778 -81.421
32.777 -81.421
32.776 -81.421
32.775 -81.421
32.773 -81.423
32.773 -81.425
32.772 -81.425
32.772 -81.426
32.771 -81.426
32.77 -81.426
32.769 -81.426
32.768 -81.426
32.768 -81.425
32.767 -81.422
32.766 -81.42
32.763 -81.418
32.76 -81.416
32.758 -81.415
32.755 -81.416
32.753 -81.417
32.752 -81.417
32.75 -81.416
32.749 -81.415
32.749 -81.414
32.748 -81.413
32.747 -81.411
32.746 -81.411
32.745 -81.41
32.743 -81.411
32.742 -81.411
32.74 -81.412
32.739 -81.413
32.733 -81.419
32.72 -81.421
32.712 -81.421
32.702 -81.428
32.701 -81.427
32.695 -81.416
32.693 -81.413
32.693 -81.412
32.694 -81.411
32.695 -81.411
32.695 -81.41
32.695 -81.409
32.695 -81.408
32.68 -81.401
32.677 -81.401
32.668 -81.404
32.663 -81.407
32.662 -81.407
32.661 -81.407
32.657 -81.405
32.656 -81.402
32.656 -81.399
32.656 -81.398
32.653 -81.394
32.652 -81.393
32.65 -81.395
32.643 -81.404
32.643 -81.405
32.638 -81.404
32.637 -81.403
32.636 -81.403
32.632 -81.407
32.631 -81.409
32.631 -81.41
32.632 -81.411
32.633 -81.412
32.637 -81.413
32.637 -81.415
32.636 -81.417
32.635 -81.418
32.63 -81.419
32.629 -81.419
32.629 -81.418
32.628 -81.418
32.618 -81.412
32.618 -81.411
32.611 -81.405
32.606 -81.397
32.602 -81.394
32.595 -81.389
32.59 -81.381
32.589 -81.379
32.589 -81.376
32.592 -81.373
32.592 -81.372
32.591 -81.37
32.59 -81.369
32.584 -81.368
32.577 -81.367
32.573 -81.358
32.569 -81.348
32.561 -81.329
32.56 -81.321
32.561 -81.309
32.563 -81.301
32.563 -81.298
32.563 -81.297
32.561 -81.293
32.559 -81.289
32.556 -81.281
32.555 -81.279
32.545 -81.275
32.544 -81.275
32.541 -81.275
32.539 -81.276
32.536 -81.277
32.535 -81.277
32.533 -81.274
32.525 -81.263
32.519 -81.253
32.518 -81.253
32.518 -81.252
32.518 -81.25
32.518 -81.248
32.518 -81.245
32.517 -81.237
32.516 -81.235
32.514 -81.234
32.512 -81.235
32.511 -81.237
32.51 -81.238
32.509 -81.239
32.506 -81.238
32.498 -81.234
32.494 -81.228
32.479 -81.212
32.468 -81.2
32.465 -81.195
32.465 -81.192
32.466 -81.189
32.465 -81.188
32.464 -81.187
32.463 -81.187
32.456 -81.193
32.452 -81.198
32.452 -81.201
32.451 -81.202
32.45 -81.202
32.449 -81.203
32.447 -81.203
32.446 -81.202
32.445 -81.202
32.444 -81.201
32.443 -81.201
32.441 -81.202
32.44 -81.203
32.439 -81.205
32.438 -81.207
32.436 -81.208
32.424 -81.205
32.416 -81.198
32.411 -81.195
32.407 -81.19
32.396 -81.181
32.392 -81.177
32.385 -81.178
32.38 -81.181
32.377 -81.178
32.373 -81.173
32.369 -81.169
32.368 -81.169
32.366 -81.169
32.365 -81.17
32.364 -81.171
32.363 -81.171
32.361 -81.17
32.356 -81.162
32.353 -81.158
32.35 -81.155
32.349 -81.155
32.347 -81.155
32.346 -81.155
32.346 -81.154
32.346 -81.153
32.346 -81.152
32.346 -81.151
32.347 -81.149
32.348 -81.148
32.349 -81.148
32.351 -81.144
32.351 -81.143
32.351 -81.142
32.349 -81.141
32.342 -81.134
32.341 -81.134
32.335 -81.133
32.33 -81.137
32.328 -81.138
32.325 -81.136
32.317 -81.13
32.309 -81.125
32.309 -81.124
32.307 -81.123
32.305 -81.122
32.29 -81.12
32.289 -81.12
32.288 -81.12
32.285 -81.121
32.284 -81.121
32.276 -81.128
32.275 -81.131
32.273 -81.137
32.27 -81.14
32.263 -81.146
32.255 -81.148
32.246 -81.156
32.244 -81.157
32.241 -81.156
32.238 -81.154
32.227 -81.147
32.225 -81.145
32.222 -81.143
32.214 -81.137
32.213 -81.136
32.209 -81.128
32.201 -81.123
32.195 -81.121
32.193 -81.12
32.189 -81.118
32.185 -81.118
32.181 -81.12
32.179 -81.12
32.177 -81.119
32.175 -81.119
32.175 -81.121
32.172 -81.124
32.169 -81.128
32.167 -81.129
32.166 -81.13
32.164 -81.128
32.163 -81.123
32.162 -81.122
32.155 -81.12
32.153 -81.12
32.144 -81.118
32.142 -81.119
32.134 -81.12
32.131 -81.119
32.118 -81.117
32.113 -81.113
32.112 -81.111
32.111 -81.1
32.111 -81.093
32.111 -81.091
32.107 -81.091
32.104 -81.088
32.103 -81.087
32.101 -81.084
32.09 -81.067
32.089 -81.064
32.088 -81.061
32.088 -81.06
32.087 -81.059
32.085 -81.051
32.085 -81.05
32.085 -81.049
32.085 -81.042
32.084 -81.038
32.085 -81.033
32.091 -81.022
32.093 -81.02
32.097 -81.016
32.1 -81.012
32.101 -81.007
32.1 -81.002
32.099 -81
32.095 -80.994
32.091 -80.992
32.084 -80.988
32.08 -80.983
32.077 -80.979
32.074 -80.968
32.071 -80.959
32.069 -80.954
32.058 -80.943
32.048 -80.934
32.042 -80.927
32.039 -80.923
32.038 -80.918
32.037 -80.911
32.035 -80.893
32.035 -80.886
32.028 -80.871
32.028 -80.87
32.024 -80.859
32.027 -80.852
32.026 -80.852
32.024 -80.843
32.012 -80.841
32.011 -80.841
32.01 -80.841
32.003 -80.842
31.996 -80.845
31.989 -80.848
31.988 -80.848
31.988 -80.849
31.987 -80.849
31.984 -80.851
31.984 -80.852
31.969 -80.863
31.963 -80.875
31.959 -80.883
31.949 -80.898
31.944 -80.911
31.945 -80.929
31.957 -80.93
31.957 -80.941
31.957 -80.943
31.957 -80.948
31.941 -80.972
31.934 -80.974
31.924 -80.976
31.916 -80.968
31.912 -80.954
31.913 -80.941
31.909 -80.935
31.897 -80.946
31.896 -80.947
31.896 -80.948
31.878 -80.971
31.858 -80.992
31.858 -80.993
31.857 -81
31.861 -81.007
31.867 -81.014
31.868 -81.015
31.873 -81.033
31.876 -81.042
31.877 -81.055
31.877 -81.06
31.877 -81.063
31.877 -81.065
31.866 -81.061
31.858 -81.059
31.85 -81.059
31.845 -81.063
31.836 -81.076
31.829 -81.076
31.823 -81.057
31.822 -81.051
31.825 -81.048
31.823 -81.04
31.82 -81.037
31.813 -81.037
31.808 -81.042
31.803 -81.047
31.789 -81.056
31.769 -81.068
31.761 -81.077
31.754 -81.095
31.754 -81.096
31.753 -81.097
31.742 -81.11
31.723 -81.131
31.722 -81.135
31.721 -81.138
31.726 -81.155
31.728 -81.161
31.733 -81.193
31.726 -81.198
31.719 -81.204
31.702 -81.186
31.691 -81.161
31.694 -81.155
31.698 -81.152
31.699 -81.149
31.7 -81.139
31.696 -81.131
31.683 -81.136
31.675 -81.136
31.654 -81.132
31.623 -81.133
31.593 -81.15
31.57 -81.16
31.556 -81.173
31.556 -81.179
31.56 -81.183
31.568 -81.186
31.568 -81.194
31.568 -81.204
31.558 -81.215
31.552 -81.241
31.556 -81.254
31.548 -81.26
31.538 -81.263
31.533 -81.264
31.531 -81.263
31.529 -81.259
31.529 -81.25
31.527 -81.218
31.528 -81.214
31.538 -81.2
31.536 -81.193
31.528 -81.182
31.522 -81.178
31.517 -81.177
31.504 -81.19
31.473 -81.205
31.447 -81.227
31.427 -81.243
31.423 -81.246
31.423 -81.247
31.404 -81.259
31.37 -81.277
31.367 -81.279
31.351 -81.279
31.326 -81.283
31.326 -81.275
31.324 -81.268
31.315 -81.255
31.304 -81.261
31.294 -81.27
31.289 -81.275
31.255 -81.277
31.244 -81.283
31.225 -81.289
31.214 -81.289
31.211 -81.288
31.207 -81.293
31.206 -81.293
31.206 -81.295
31.206 -81.305
31.208 -81.313
31.208 -81.314
31.187 -81.339
31.167 -81.355
31.156 -81.361
31.155 -81.361
31.149 -81.359
31.148 -81.36
31.141 -81.365
31.137 -81.368
31.136 -81.369
31.136 -81.37
31.136 -81.372
31.134 -81.383
31.133 -81.387
31.133 -81.388
31.134 -81.4
31.13 -81.401
31.125 -81.402
31.107 -81.404
31.086 -81.401
31.073 -81.401
31.027 -81.415
31.017 -81.42
31.014 -81.425
31.013 -81.432
31.015 -81.435
31.018 -81.435
31.017 -81.443
31.016 -81.451
31.01 -81.458
31.006 -81.459
30.996 -81.469
30.985 -81.491
30.978 -81.494
30.97 -81.487
30.969 -81.485
30.966 -81.476
30.97 -81.472
30.971 -81.467
30.966 -81.454
30.957 -81.447
30.957 -81.434
30.957 -81.427
30.974 -81.42
30.977 -81.416
30.978 -81.409
30.978 -81.408
30.975 -81.408
30.958 -81.403
30.952 -81.404
30.946 -81.404
30.908 -81.405
30.852 -81.423
30.836 -81.429
30.831 -81.431
30.821 -81.44
30.81 -81.447
30.793 -81.454
30.791 -81.455
30.787 -81.456
30.77 -81.46
30.754 -81.461
30.746 -81.46
30.742 -81.459
30.74 -81.459
30.725 -81.453
30.716 -81.449
30.71 -81.444
30.709 -81.449
30.71 -81.46
30.711 -81.464
30.713 -81.473
30.715 -81.476
30.724 -81.484
30.726 -81.487
30.726 -81.49
30.724 -81.5
30.723 -81.507
30.722 -81.516
30.723 -81.521
30.723 -81.528
30.723 -81.531
30.722 -81.533
30.72 -81.534
30.718 -81.534
30.718 -81.535
30.716 -81.536
30.714 -81.538
30.713 -81.539
30.713 -81.541
30.714 -81.543
30.714 -81.545
30.714 -81.547
30.716 -81.549
30.717 -81.553
30.716 -81.562
30.716 -81.563
30.718 -81.566
30.722 -81.571
30.722 -81.574
30.723 -81.576
30.724 -81.587
30.725 -81.594
30.727 -81.597
30.728 -81.601
30.727 -81.604
30.725 -81.606
30.722 -81.608
30.721 -81.609
30.721 -81.613
30.722 -81.618
30.723 -81.618
30.725 -81.62
30.73 -81.621
30.731 -81.622
30.733 -81.625
30.732 -81.629
30.732 -81.63
30.73 -81.633
30.728 -81.646
30.729 -81.649
30.73 -81.65
30.732 -81.652
30.736 -81.652
30.74 -81.652
30.741 -81.652
30.742 -81.652
30.743 -81.652
30.744 -81.655
30.745 -81.657
30.747 -81.662
30.747 -81.663
30.747 -81.665
30.746 -81.667
30.745 -81.668
30.741 -81.669
30.74 -81.67
30.739 -81.672
30.739 -81.673
30.739 -81.674
30.739 -81.675
30.741 -81.688
30.741 -81.689
30.743 -81.691
30.744 -81.692
30.747 -81.693
30.748 -81.695
30.747 -81.707
30.745 -81.718
30.745 -81.72
30.747 -81.727
30.75 -81.732
30.759 -81.743
30.76 -81.743
30.762 -81.743
30.764 -81.744
30.765 -81.745
30.766 -81.746
30.766 -81.748
30.767 -81.751
30.768 -81.755
30.771 -81.759
30.774 -81.763
30.774 -81.768
30.772 -81.77
30.77 -81.772
30.77 -81.773
30.769 -81.773
30.768 -81.775
30.768 -81.779
30.77 -81.783
30.774 -81.784
30.778 -81.787
30.784 -81.793
30.786 -81.796
30.79 -81.807
30.79 -81.809
30.789 -81.817
30.789 -81.82
30.789 -81.827
30.787 -81.838
30.786 -81.84
30.787 -81.842
30.789 -81.844
30.791 -81.846
30.794 -81.853
30.793 -81.869
30.794 -81.87
30.8 -81.877
30.805 -81.883
30.813 -81.889
30.816 -81.891
30.819 -81.893
30.821 -81.896
30.822 -81.899
30.821 -81.902
30.819 -81.904
30.818 -81.905
30.817 -81.906
30.816 -81.911
30.816 -81.912
30.818 -81.924
30.82 -81.935
30.821 -81.935
30.826 -81.938
30.827 -81.942
30.827 -81.943
30.827 -81.95
30.821 -81.96
30.818 -81.962
30.814 -81.963
30.808 -81.962
30.8 -81.962
30.797 -81.963
30.782 -81.972
30.778 -81.974
30.776 -81.979
30.777 -81.981
30.78 -81.989
30.782 -81.991
30.786 -81.995
30.792 -82.005
30.793 -82.008
30.792 -82.017
30.788 -82.023
30.787 -82.024
30.786 -82.024
30.783 -82.024
30.776 -82.018
30.763 -82.012
30.761 -82.013
30.755 -82.018
30.751 -82.028
30.751 -82.033
30.751 -82.036
30.749 -82.039
30.748 -82.04
30.744 -82.04
30.738 -82.04
30.734 -82.041
30.73 -82.044
30.725 -82.041
30.723 -82.039
30.719 -82.038
30.707 -82.036
30.692 -82.042
30.677 -82.05
30.676 -82.05
30.675 -82.05
30.656 -82.05
30.655 -82.049
30.652 -82.046
30.649 -82.042
30.643 -82.04
30.641 -82.039
30.637 -82.04
30.633 -82.038
30.633 -82.037
30.63 -82.034
30.622 -82.028
30.613 -82.027
30.607 -82.027
30.606 -82.027
30.602 -82.017
30.602 -82.016
30.594 -82.012
30.582 -82.009
30.577 -82.008
30.576 -82.008
30.566 -82.006
30.563 -82.005
30.55 -82.013
30.531 -82.018
30.524 -82.019
30.519 -82.017
30.518 -82.016
30.513 -82.015
30.512 -82.015
30.511 -82.015
30.5 -82.016
30.496 -82.016
