segment Ohio
40.403 -80.612
40.4 -80.615
40.398 -80.622
40.396 -80.628
40.394 -80.632
40.39 -80.634
40.385 -80.632
40.385 -80.631
40.385 -80.63
40.384 -80.627
40.382 -80.619
40.379 -80.614
40.375 -80.61
40.37 -80.608
40.362 -80.609
40.355 -80.612
40.348 -80.613
40.341 -80.611
40.332 -80.606
40.331 -80.605
40.328 -80.603
40.321 -80.6
40.318 -80.6
40.307 -80.603
40.304 -80.607
40.292 -80.615
40.288 -80.616
40.285 -80.617
40.272 -80.616
40.265 -80.619
40.262 -80.622
40.254 -80.637
40.255 -80.637
40.251 -80.645
40.249 -80.647
40.245 -80.652
40.244 -80.653
40.23 -80.662
40.219 -80.664
40.217 -80.665
40.206 -80.666
40.2 -80.668
40.192 -80.673
40.186 -80.68
40.185 -80.682
40.184 -80.684
40.182 -80.686
40.18 -80.688
40.174 -80.691
40.167 -80.696
40.166 -80.697
40.162 -80.7
40.157 -80.703
40.155 -80.705
40.153 -80.705
40.152 -80.706
40.145 -80.707
40.139 -80.71
40.138 -80.71
40.129 -80.71
40.125 -80.711
40.118 -80.709
40.117 -80.708
40.115 -80.707
40.113 -80.707
40.111 -80.707
40.105 -80.708
40.101 -80.709
40.1 -80.71
40.097 -80.713
40.086 -80.731
40.085 -80.732
40.08 -80.737
40.076 -80.739
40.071 -80.739
40.065 -80.737
40.061 -80.735
40.06 -80.734
40.059 -80.733
40.056 -80.732
40.055 -80.732
40.051 -80.731
40.05 -80.731
40.049 -80.731
40.047 -80.731
40.037 -80.732
40.033 -80.733
40.03 -80.736
40.028 -80.737
40.023 -80.737
40.021 -80.738
40.02 -80.738
40.015 -80.74
40.015 -80.741
40.008 -80.742
40.006 -80.742
39.997 -80.741
39.994 -80.74
39.991 -80.74
39.985 -80.739
39.98 -80.739
39.977 -80.74
39.971 -80.74
39.969 -80.743
39.966 -80.746
39.963 -80.753
39.962 -80.753
39.962 -80.755
39.959 -80.759
39.958 -80.759
39.954 -80.763
39.95 -80.764
39.947 -80.765
39.929 -80.761
39.922 -80.757
39.921 -80.757
39.919 -80.756
39.917 -80.756
39.915 -80.756
39.914 -80.756
39.91 -80.758
39.909 -80.759
39.909 -80.761
39.909 -80.763
39.91 -80.768
39.911 -80.773
39.917 -80.783
39.918 -80.787
39.92 -80.796
39.919 -80.801
39.919 -80.803
39.919 -80.804
39.918 -80.805
39.917 -80.806
39.915 -80.808
39.911 -80.809
39.91 -80.809
39.906 -80.81
39.903 -80.809
39.902 -80.809
39.897 -80.806
39.892 -80.802
39.886 -80.796
39.885 -80.795
39.884 -80.795
39.883 -80.794
39.877 -80.792
39.876 -80.792
39.876 -80.791
39.875 -80.791
39.872 -80.79
39.867 -80.791
39.864 -80.793
39.859 -80.8
39.853 -80.816
39.85 -80.821
39.847 -80.824
39.844 -80.826
39.842 -80.827
39.836 -80.826
39.827 -80.823
39.825 -80.822
39.824 -80.822
39.812 -80.822
39.803 -80.824
39.801 -80.825
39.799 -80.826
39.791 -80.835
39.784 -80.847
39.775 -80.863
39.772 -80.866
39.767 -80.869
39.766 -80.869
39.765 -80.869
39.764 -80.87
39.763 -80.87
39.759 -80.868
39.758 -80.868
39.757 -80.868
39.756 -80.867
39.753 -80.865
39.743 -80.855
39.741 -80.853
39.74 -80.851
39.738 -80.846
39.724 -80.837
39.722 -80.835
39.721 -80.834
39.719 -80.832
39.719 -80.831
39.714 -80.83
39.712 -80.83
39.706 -80.832
39.703 -80.834
39.701 -80.839
39.701 -80.841
39.7 -80.842
39.699 -80.845
39.699 -80.852
39.697 -80.855
39.696 -80.857
39.694 -80.861
39.694 -80.862
39.692 -80.864
39.686 -80.866
39.683 -80.866
39.678 -80.867
39.663 -80.866
39.653 -80.867
39.647 -80.87
39.643 -80.871
39.642 -80.87
39.64 -80.871
39.639 -80.871
39.627 -80.876
39.621 -80.88
39.617 -80.892
39.617 -80.897
39.618 -80.906
39.619 -80.918
39.618 -80.92
39.617 -80.926
39.615 -80.933
39.613 -80.937
39.607 -80.944
39.604 -80.948
39.59 -80.97
39.584 -80.979
39.577 -80.988
39.571 -80.994
39.569 -80.997
39.563 -81.009
39.555 -81.02
39.552 -81.024
39.549 -81.027
39.546 -81.03
39.545 -81.03
39.543 -81.034
39.54 -81.039
39.536 -81.045
39.532 -81.05
39.531 -81.05
39.531 -81.051
39.529 -81.052
39.527 -81.055
39.526 -81.056
39.524 -81.059
39.523 -81.06
39.52 -81.064
39.516 -81.071
39.515 -81.071
39.51 -81.076
39.506 -81.08
39.504 -81.083
39.498 -81.09
39.497 -81.091
39.488 -81.1
39.487 -81.101
39.466 -81.114
39.466 -81.115
39.453 -81.125
39.45 -81.128
39.449 -81.129
39.446 -81.133
39.445 -81.134
39.444 -81.138
39.443 -81.148
39.443 -81.151
39.443 -81.153
39.441 -81.164
39.439 -81.171
39.435 -81.18
39.434 -81.182
39.431 -81.186
39.424 -81.191
39.415 -81.2
39.415 -81.201
39.411 -81.205
39.407 -81.208
39.404 -81.211
39.402 -81.211
39.397 -81.211
39.393 -81.212
39.391 -81.213
39.388 -81.217
39.386 -81.221
39.386 -81.224
39.39 -81.242
39.39 -81.249
39.387 -81.26
39.386 -81.27
39.386 -81.271
39.384 -81.276
39.379 -81.281
39.376 -81.291
39.375 -81.297
39.374 -81.298
39.373 -81.3
39.372 -81.303
39.371 -81.305
39.361 -81.32
39.358 -81.326
39.353 -81.336
39.348 -81.342
39.348 -81.343
39.346 -81.346
39.346 -81.348
39.345 -81.35
39.344 -81.355
39.343 -81.357
39.343 -81.362
39.343 -81.364
39.342 -81.367
39.342 -81.371
39.342 -81.376
39.342 -81.38
39.342 -81.381
39.343 -81.385
39.349 -81.391
39.352 -81.394
39.356 -81.396
39.369 -81.401
39.377 -81.403
39.388 -81.407
39.395 -81.413
39.4 -81.421
39.405 -81.427
39.405 -81.429
39.406 -81.429
39.408 -81.436
39.41 -81.447
39.409 -81.456
39.404 -81.468
39.4 -81.473
39.392 -81.481
39.39 -81.483
39.384 -81.489
39.374 -81.502
39.373 -81.503
39.373 -81.504
39.37 -81.509
39.367 -81.513
39.366 -81.515
39.362 -81.524
39.358 -81.534
39.353 -81.542
39.339 -81.558
39.333 -81.559
39.331 -81.56
39.318 -81.56
39.308 -81.562
39.294 -81.565
39.288 -81.565
39.276 -81.565
39.272 -81.567
39.271 -81.567
39.268 -81.57
39.268 -81.582
39.269 -81.586
39.269 -81.588
39.27 -81.589
39.273 -81.595
39.274 -81.598
39.275 -81.6
39.276 -81.603
39.276 -81.608
39.275 -81.614
39.274 -81.618
39.274 -81.621
39.274 -81.622
39.277 -81.643
39.277 -81.645
39.277 -81.656
39.276 -81.67
39.274 -81.678
39.271 -81.684
39.266 -81.689
39.263 -81.692
39.262 -81.693
39.257 -81.696
39.249 -81.697
39.246 -81.697
39.245 -81.696
39.243 -81.696
39.24 -81.694
39.236 -81.692
39.23 -81.691
39.228 -81.691
39.228 -81.692
39.227 -81.692
39.226 -81.692
39.226 -81.693
39.224 -81.695
39.221 -81.701
39.219 -81.712
39.217 -81.724
39.216 -81.725
39.215 -81.727
39.212 -81.73
39.206 -81.733
39.205 -81.734
39.196 -81.736
39.194 -81.737
39.19 -81.742
39.186 -81.75
39.185 -81.753
39.184 -81.753
39.183 -81.754
39.182 -81.755
39.181 -81.756
39.18 -81.756
39.179 -81.756
39.177 -81.756
39.175 -81.755
39.171 -81.754
39.148 -81.745
39.142 -81.744
39.139 -81.745
39.131 -81.745
39.127 -81.745
39.117 -81.742
39.107 -81.743
39.102 -81.744
39.098 -81.745
39.095 -81.747
39.09 -81.752
39.086 -81.758
39.085 -81.759
39.084 -81.761
39.083 -81.764
39.082 -81.765
39.079 -81.774
39.078 -81.776
39.078 -81.781
39.079 -81.786
39.079 -81.787
39.08 -81.791
39.083 -81.798
39.084 -81.803
39.084 -81.804
39.084 -81.808
39.083 -81.811
39.082 -81.812
39.079 -81.814
39.073 -81.814
39.068 -81.814
39.066 -81.813
39.063 -81.813
39.06 -81.812
39.059 -81.811
39.058 -81.811
39.055 -81.809
39.053 -81.808
39.051 -81.806
39.048 -81.803
39.047 -81.802
39.046 -81.801
39.045 -81.8
39.043 -81.797
39.041 -81.794
39.04 -81.793
39.037 -81.787
39.031 -81.78
39.03 -81.778
39.026 -81.773
39.02 -81.767
39.019 -81.766
39.015 -81.764
39.007 -81.764
39.003 -81.765
39.002 -81.765
39 -81.767
38.997 -81.772
38.994 -81.774
38.993 -81.774
38.991 -81.775
38.99 -81.776
38.985 -81.777
38.982 -81.776
38.981 -81.776
38.973 -81.78
38.972 -81.78
38.965 -81.782
38.959 -81.781
38.956 -81.779
38.952 -81.774
38.949 -81.77
38.937 -81.757
38.934 -81.756
38.928 -81.759
38.926 -81.76
38.924 -81.763
38.923 -81.766
38.923 -81.77
38.923 -81.774
38.925 -81.781
38.926 -81.786
38.93 -81.793
38.932 -81.796
38.942 -81.806
38.946 -81.814
38.947 -81.82
38.947 -81.821
38.947 -81.825
38.946 -81.827
38.944 -81.832
38.937 -81.838
38.929 -81.844
38.913 -81.846
38.91 -81.845
38.901 -81.849
38.893 -81.856
38.89 -81.859
38.881 -81.875
38.874 -81.889
38.874 -81.893
38.875 -81.899
38.878 -81.909
38.879 -81.91
38.884 -81.916
38.892 -81.927
38.893 -81.928
38.895 -81.928
38.901 -81.927
38.909 -81.919
38.911 -81.918
38.916 -81.912
38.917 -81.908
38.924 -81.901
38.925 -81.9
38.93 -81.898
38.938 -81.901
38.945 -81.907
38.953 -81.911
38.954 -81.912
38.959 -81.915
38.967 -81.918
38.978 -81.927
38.988 -81.933
38.989 -81.936
38.99 -81.936
38.99 -81.937
38.993 -81.942
38.996 -81.951
38.995 -81.959
38.994 -81.961
38.993 -81.968
38.992 -81.974
38.993 -81.977
38.993 -81.979
38.994 -81.981
38.996 -81.982
39 -81.983
39.002 -81.983
39.005 -81.984
39.006 -81.984
39.012 -81.987
39.018 -81.991
39.021 -81.994
39.022 -81.995
39.025 -81.998
39.027 -82.001
39.027 -82.002
39.028 -82.002
39.028 -82.003
39.029 -82.004
39.03 -82.007
39.03 -82.018
39.029 -82.026
39.028 -82.027
39.028 -82.029
39.025 -82.036
39.023 -82.039
39.018 -82.042
39.017 -82.042
39.015 -82.042
39.014 -82.043
39.009 -82.044
39.008 -82.044
39.004 -82.046
38.997 -82.049
38.994 -82.052
38.992 -82.056
38.99 -82.059
38.985 -82.069
38.981 -82.079
38.978 -82.086
38.976 -82.089
38.975 -82.091
38.974 -82.092
38.972 -82.093
38.971 -82.093
38.965 -82.095
38.958 -82.099
38.956 -82.101
38.951 -82.104
38.947 -82.108
38.946 -82.109
38.94 -82.111
38.935 -82.111
38.934 -82.111
38.933 -82.112
38.93 -82.114
38.921 -82.121
38.916 -82.125
38.91 -82.129
38.906 -82.135
38.905 -82.135
38.898 -82.143
38.892 -82.145
38.883 -82.145
38.877 -82.142
38.87 -82.14
38.866 -82.139
38.865 -82.139
38.859 -82.14
38.851 -82.142
38.844 -82.144
38.84 -82.145
38.837 -82.148
38.836 -82.149
38.834 -82.151
38.825 -82.161
38.825 -82.162
38.824 -82.163
38.823 -82.165
38.822 -82.166
38.817 -82.179
38.817 -82.18
38.817 -82.184
38.816 -82.187
38.815 -82.191
38.815 -82.192
38.809 -82.199
38.803 -82.209
38.802 -82.21
38.8 -82.213
38.799 -82.214
38.796 -82.217
38.787 -82.222
38.783 -82.222
38.78 -82.222
38.777 -82.221
38.774 -82.221
38.774 -82.22
38.773 -82.22
38.768 -82.217
38.766 -82.212
38.764 -82.207
38.76 -82.202
38.758 -82.199
38.757 -82.198
38.752 -82.196
38.741 -82.193
38.737 -82.19
38.734 -82.188
38.726 -82.187
38.722 -82.187
38.716 -82.185
38.71 -82.183
38.709 -82.182
38.708 -82.183
38.707 -82.183
38.706 -82.183
38.705 -82.183
38.699 -82.185
38.689 -82.19
38.687 -82.19
38.684 -82.19
38.68 -82.191
38.673 -82.188
38.669 -82.187
38.667 -82.186
38.666 -82.186
38.66 -82.186
38.649 -82.179
38.643 -82.177
38.633 -82.174
38.63 -82.173
38.626 -82.172
38.619 -82.172
38.61 -82.175
38.608 -82.175
38.605 -82.177
38.604 -82.177
38.602 -82.179
38.6 -82.181
38.599 -82.182
38.595 -82.189
38.594 -82.19
38.593 -82.194
38.592 -82.204
38.592 -82.205
38.592 -82.219
38.591 -82.222
38.596 -82.239
38.598 -82.246
38.599 -82.247
38.599 -82.25
38.599 -82.252
38.599 -82.254
38.598 -82.262
38.597 -82.265
38.597 -82.266
38.595 -82.271
38.594 -82.273
38.594 -82.274
38.593 -82.275
38.584 -82.286
38.583 -82.287
38.579 -82.291
38.575 -82.293
38.573 -82.294
38.57 -82.294
38.56 -82.293
38.559 -82.293
38.541 -82.295
38.538 -82.296
38.533 -82.298
38.529 -82.3
38.527 -82.301
38.526 -82.302
38.523 -82.303
38.521 -82.303
38.518 -82.304
38.504 -82.303
38.498 -82.304
38.496 -82.304
38.495 -82.305
38.491 -82.306
38.483 -82.311
38.48 -82.312
38.477 -82.312
38.476 -82.313
38.469 -82.314
38.468 -82.314
38.467 -82.314
38.458 -82.318
38.449 -82.324
38.444 -82.33
38.441 -82.341
38.439 -82.36
38.436 -82.374
38.435 -82.382
38.434 -82.389
38.434 -82.39
38.439 -82.405
38.438 -82.41
38.431 -82.43
38.43 -82.434
38.427 -82.447
38.426 -82.451
38.425 -82.46
38.424 -82.462
38.424 -82.464
38.423 -82.468
38.422 -82.472
38.418 -82.487
38.415 -82.495
38.411 -82.508
38.405 -82.53
38.405 -82.532
38.404 -82.536
38.404 -82.54
38.403 -82.55
38.404 -82.557
38.404 -82.561
38.406 -82.569
38.407 -82.573
38.409 -82.577
38.41 -82.58
38.415 -82.587
38.415 -82.588
38.416 -82.589
38.417 -82.59
38.421 -82.593
38.422 -82.594
38.427 -82.597
38.429 -82.598
38.437 -82.601
38.458 -82.604
38.46 -82.604
38.465 -82.607
38.468 -82.608
38.469 -82.609
38.471 -82.61
38.472 -82.611
38.473 -82.612
38.474 -82.613
38.475 -82.614
38.475 -82.615
38.476 -82.616
38.477 -82.618
38.48 -82.624
38.482 -82.63
38.482 -82.631
38.484 -82.638
38.485 -82.639
38.49 -82.647
38.49 -82.648
38.491 -82.65
38.495 -82.654
38.497 -82.657
38.5 -82.66
38.506 -82.666
38.514 -82.674
38.516 -82.676
38.524 -82.682
38.531 -82.686
38.533 -82.688
38.535 -82.689
38.536 -82.69
38.542 -82.697
38.544 -82.7
38.547 -82.706
38.551 -82.714
38.552 -82.717
38.554 -82.72
38.558 -82.725
38.559 -82.731
38.559 -82.74
38.559 -82.744
38.559 -82.745
38.56 -82.764
38.559 -82.779
38.559 -82.782
38.56 -82.789
38.56 -82.79
38.56 -82.791
38.563 -82.8
38.571 -82.816
38.573 -82.82
38.573 -82.821
38.586 -82.839
38.586 -82.84
38.587 -82.84
38.591 -82.844
38.595 -82.847
38.604 -82.851
38.613 -82.854
38.616 -82.855
38.617 -82.855
38.621 -82.856
38.633 -82.857
38.643 -82.856
38.646 -82.856
38.647 -82.856
38.66 -82.859
38.669 -82.863
38.678 -82.87
38.683 -82.875
38.685 -82.876
38.69 -82.878
38.697 -82.877
38.705 -82.875
38.718 -82.871
38.722 -82.87
38.728 -82.87
38.729 -82.87
38.739 -82.871
38.743 -82.873
38.745 -82.874
38.747 -82.875
38.751 -82.879
38.754 -82.885
38.756 -82.889
38.757 -82.894
38.751 -82.918
38.751 -82.919
38.75 -82.924
38.749 -82.927
38.744 -82.94
38.743 -82.943
38.742 -82.945
38.741 -82.948
38.735 -82.959
38.729 -82.969
38.726 -82.979
38.726 -82.984
38.726 -82.986
38.726 -82.987
38.729 -82.994
38.729 -82.997
38.729 -82.999
38.729 -83.001
38.73 -83.012
38.73 -83.013
38.73 -83.014
38.729 -83.022
38.727 -83.028
38.726 -83.031
38.724 -83.033
38.72 -83.036
38.716 -83.038
38.708 -83.042
38.696 -83.053
38.689 -83.064
38.684 -83.078
38.683 -83.08
38.682 -83.081
38.681 -83.084
38.681 -83.085
38.677 -83.103
38.675 -83.107
38.672 -83.112
38.666 -83.118
38.659 -83.123
38.657 -83.123
38.647 -83.126
38.645 -83.126
38.644 -83.127
38.642 -83.128
38.64 -83.129
38.632 -83.135
38.628 -83.139
38.625 -83.143
38.621 -83.157
38.62 -83.165
38.62 -83.173
38.618 -83.191
38.617 -83.202
38.619 -83.211
38.624 -83.223
38.625 -83.224
38.626 -83.229
38.628 -83.232
38.628 -83.233
38.629 -83.24
38.628 -83.246
38.626 -83.251
38.623 -83.255
38.623 -83.261
38.622 -83.263
38.622 -83.264
38.618 -83.268
38.615 -83.269
38.602 -83.283
38.599 -83.287
38.599 -83.288
38.598 -83.289
38.598 -83.29
38.597 -83.294
38.598 -83.301
38.598 -83.302
38.599 -83.303
38.6 -83.305
38.601 -83.308
38.602 -83.31
38.603 -83.311
38.609 -83.318
38.61 -83.318
38.611 -83.318
38.612 -83.319
38.616 -83.32
38.623 -83.321
38.631 -83.322
38.637 -83.328
38.646 -83.34
38.654 -83.356
38.659 -83.367
38.661 -83.375
38.661 -83.376
38.663 -83.385
38.667 -83.412
38.668 -83.42
38.669 -83.44
38.67 -83.447
38.674 -83.457
38.674 -83.46
38.675 -83.468
38.678 -83.472
38.682 -83.476
38.69 -83.486
38.694 -83.493
38.699 -83.504
38.702 -83.513
38.703 -83.521
38.702 -83.533
38.699 -83.549
38.695 -83.562
38.693 -83.569
38.692 -83.575
38.693 -83.575
38.689 -83.595
38.688 -83.596
38.685 -83.612
38.684 -83.615
38.684 -83.616
38.683 -83.619
38.682 -83.621
38.68 -83.626
38.679 -83.627
38.673 -83.634
38.671 -83.636
38.668 -83.637
38.659 -83.639
38.652 -83.64
38.643 -83.643
38.637 -83.646
38.636 -83.646
38.636 -83.647
38.633 -83.65
38.631 -83.653
38.63 -83.655
38.629 -83.659
38.628 -83.664
38.628 -83.668
38.63 -83.678
38.63 -83.679
38.632 -83.686
38.64 -83.704
38.64 -83.705
38.64 -83.708
38.642 -83.713
38.644 -83.717
38.645 -83.718
38.647 -83.721
38.648 -83.738
38.649 -83.748
38.649 -83.749
38.65 -83.75
38.652 -83.762
38.653 -83.765
38.655 -83.769
38.658 -83.772
38.66 -83.773
38.667 -83.776
38.671 -83.777
38.685 -83.78
38.696 -83.784
38.699 -83.787
38.702 -83.791
38.705 -83.799
38.707 -83.806
38.707 -83.814
38.71 -83.822
38.716 -83.834
38.718 -83.837
38.719 -83.837
38.721 -83.84
38.722 -83.841
38.724 -83.842
38.725 -83.842
38.726 -83.842
38.727 -83.843
38.73 -83.843
38.737 -83.845
38.742 -83.846
38.747 -83.849
38.75 -83.851
38.751 -83.852
38.752 -83.853
38.757 -83.859
38.76 -83.867
38.761 -83.869
38.762 -83.872
38.762 -83.873
38.766 -83.887
38.768 -83.904
38.77 -83.913
38.77 -83.916
38.77 -83.917
38.771 -83.922
38.771 -83.926
38.772 -83.927
38.772 -83.929
38.775 -83.928
38.784 -83.944
38.786 -83.954
38.787 -83.961
38.787 -83.962
38.787 -83.979
38.782 -83.995
38.78 -84.006
38.776 -84.021
38.775 -84.023
38.774 -84.028
38.771 -84.044
38.771 -84.052
38.771 -84.053
38.771 -84.063
38.77 -84.071
38.775 -84.094
38.779 -84.109
38.783 -84.116
38.789 -84.133
38.789 -84.135
38.791 -84.142
38.792 -84.144
38.794 -84.152
38.795 -84.156
38.795 -84.16
38.799 -84.186
38.8 -84.189
38.801 -84.198
38.803 -84.206
38.805 -84.211
38.806 -84.213
38.811 -84.219
38.812 -84.22
38.814 -84.222
38.818 -84.225
38.827 -84.23
38.831 -84.231
38.833 -84.232
38.843 -84.233
38.854 -84.234
38.857 -84.233
38.858 -84.233
38.866 -84.232
38.87 -84.232
38.872 -84.232
38.873 -84.232
38.88 -84.232
38.884 -84.232
38.893 -84.234
38.901 -84.24
38.903 -84.243
38.907 -84.246
38.923 -84.257
38.927 -84.261
38.928 -84.262
38.935 -84.268
38.942 -84.275
38.945 -84.28
38.949 -84.283
38.951 -84.284
38.955 -84.287
38.956 -84.288
38.964 -84.293
38.965 -84.293
38.968 -84.295
38.983 -84.296
38.985 -84.296
38.99 -84.297
38.991 -84.298
38.996 -84.299
39.006 -84.305
39.017 -84.314
39.022 -84.32
39.027 -84.327
39.033 -84.336
39.037 -84.346
39.041 -84.36
39.045 -84.387
39.045 -84.394
39.046 -84.397
39.046 -84.401
39.046 -84.403
39.046 -84.407
39.05 -84.419
39.051 -84.421
39.052 -84.423
39.053 -84.426
39.055 -84.428
39.058 -84.43
39.068 -84.432
39.073 -84.433
39.078 -84.433
39.084 -84.433
39.087 -84.435
39.092 -84.434
39.094 -84.433
39.102 -84.436
39.11 -84.441
39.114 -84.445
39.118 -84.45
39.12 -84.455
39.122 -84.462
39.121 -84.471
39.119 -84.476
39.117 -84.481
39.111 -84.488
39.102 -84.494
39.101 -84.496
39.1 -84.497
39.097 -84.502
39.094 -84.51
39.092 -84.517
39.092 -84.52
39.092 -84.522
39.092 -84.525
39.098 -84.54
39.099 -84.541
39.1 -84.544
39.099 -84.551
39.098 -84.554
39.095 -84.558
39.087 -84.564
39.082 -84.572
39.078 -84.592
39.076 -84.598
39.075 -84.6
39.074 -84.602
39.074 -84.604
39.074 -84.605
39.073 -84.607
39.073 -84.608
39.073 -84.611
39.073 -84.619
39.073 -84.62
39.074 -84.622
39.074 -84.624
39.077 -84.632
39.092 -84.65
39.095 -84.657
39.098 -84.666
39.098 -84.677
39.1 -84.685
39.104 -84.69
39.113 -84.697
39.119 -84.702
39.12 -84.702
39.13 -84.712
39.133 -84.714
39.137 -84.719
39.142 -84.726
39.144 -84.732
39.147 -84.744
39.147 -84.751
39.147 -84.754
39.144 -84.759
39.139 -84.767
39.118 -84.784
39.115 -84.788
39.113 -84.794
39.109 -84.811
39.107 -84.812
39.106 -84.814
39.105 -84.82
39.12 -84.82
39.128 -84.82
39.146 -84.82
39.149 -84.82
39.158 -84.82
39.218 -84.82
39.22 -84.82
39.227 -84.82
39.244 -84.82
39.248 -84.82
39.249 -84.82
39.251 -84.82
39.252 -84.82
39.255 -84.82
39.262 -84.82
39.263 -84.82
39.267 -84.82
39.269 -84.82
39.27 -84.82
39.272 -84.82
39.277 -84.82
39.305 -84.819
39.309 -84.819
39.349 -84.818
39.392 -84.817
39.477 -84.816
39.493 -84.816
39.511 -84.816
39.522 -84.815
39.548 -84.815
39.564 -84.815
39.566 -84.815
39.567 -84.815
39.568 -84.815
39.573 -84.815
39.629 -84.815
39.639 -84.815
39.656 -84.814
39.669 -84.815
39.68 -84.815
39.727 -84.814
39.743 -84.814
39.786 -84.814
39.787 -84.814
39.8 -84.814
39.811 -84.814
39.814 -84.814
39.825 -84.814
39.827 -84.814
39.829 -84.814
39.843 -84.814
39.85 -84.814
39.851 -84.814
39.853 -84.813
39.873 -84.813
39.891 -84.813
39.892 -84.813
39.917 -84.812
39.922 -84.812
39.927 -84.812
39.973 -84.812
39.974 -84.812
39.995 -84.811
40.005 -84.811
40.02 -84.811
40.034 -84.81
40.049 -84.81
40.093 -84.809
40.107 -84.809
40.127 -84.808
40.129 -84.808
40.179 -84.807
40.18 -84.807
40.191 -84.806
40.192 -84.806
40.198 -84.806
40.201 -84.806
40.209 -84.806
40.224 -84.806
40.268 -84.805
40.302 -84.804
40.31 -84.804
40.353 -84.804
40.381 -84.804
40.403 -84.804
40.409 -84.804
40.412 -84.805
40.417 -84.804
40.463 -84.804
40.466 -84.804
40.467 -84.804
40.502 -84.803
40.509 -84.803
40.528 -84.802
40.553 -84.802
40.572 -84.802
40.597 -84.802
40.64 -84.802
40.645 -84.802
40.657 -84.802
40.66 -84.802
40.675 -84.802
40.689 -84.802
40.691 -84.802
40.702 -84.802
40.719 -84.802
40.728 -84.802
40.742 -84.802
40.766 -84.803
40.772 -84.802
40.783 -84.802
40.801 -84.802
40.815 -84.802
40.902 -84.803
40.922 -84.803
40.989 -84.803
41.077 -84.803
41.089 -84.803
41.121 -84.803
41.131 -84.804
41.141 -84.804
41.154 -84.804
41.162 -84.803
41.164 -84.803
41.165 -84.803
41.173 -84.804
41.174 -84.803
41.253 -84.803
41.271 -84.804
41.325 -84.804
41.339 -84.804
41.368 -84.804
41.408 -84.804
41.412 -84.804
41.426 -84.804
41.436 -84.804
41.465 -84.804
41.488 -84.804
41.5 -84.805
41.513 -84.805
41.53 -84.805
