segment Virginia
39.061 -77.368
39.062 -77.36
39.062 -77.35
39.063 -77.34
39.062 -77.336
39.061 -77.334
39.06 -77.334
39.058 -77.329
39.057 -77.326
39.057 -77.324
39.055 -77.321
39.052 -77.315
39.052 -77.311
39.05 -77.304
39.05 -77.301
39.047 -77.293
39.039 -77.283
39.034 -77.275
39.032 -77.266
39.031 -77.26
39.031 -77.258
39.03 -77.255
39.027 -77.248
39.025 -77.246
39.02 -77.245
39.015 -77.247
39.011 -77.252
39.002 -77.256
38.996 -77.253
38.994 -77.249
38.992 -77.248
38.986 -77.25
38.976 -77.235
38.979 -77.232
38.98 -77.232
38.98 -77.23
38.978 -77.228
38.973 -77.225
38.971 -77.222
38.97 -77.213
38.969 -77.212
38.97 -77.209
38.969 -77.204
38.968 -77.203
38.967 -77.198
38.968 -77.188
38.969 -77.183
38.968 -77.18
38.968 -77.172
38.967 -77.168
38.968 -77.167
38.968 -77.165
38.966 -77.151
38.965 -77.148
38.964 -77.147
38.955 -77.138
38.948 -77.133
38.947 -77.132
38.94 -77.128
38.934 -77.12
38.932 -77.118
38.93 -77.117
38.929 -77.117
38.925 -77.113
38.92 -77.107
38.919 -77.106
38.918 -77.106
38.913 -77.103
38.911 -77.101
38.906 -77.094
38.904 -77.09
38.902 -77.082
38.901 -77.07
38.9 -77.068
38.899 -77.067
38.889 -77.063
38.88 -77.058
38.88 -77.055
38.879 -77.054
38.875 -77.051
38.873 -77.051
38.871 -77.049
38.871 -77.046
38.873 -77.046
38.875 -77.047
38.875 -77.045
38.874 -77.043
38.871 -77.041
38.868 -77.039
38.866 -77.039
38.864 -77.039
38.862 -77.038
38.851 -77.032
38.842 -77.033
38.84 -77.042
38.84 -77.044
38.839 -77.045
38.835 -77.045
38.833 -77.043
38.834 -77.043
38.834 -77.041
38.832 -77.039
38.829 -77.038
38.821 -77.039
38.816 -77.038
38.815 -77.036
38.813 -77.036
38.809 -77.037
38.805 -77.038
38.803 -77.038
38.802 -77.039
38.801 -77.039
38.797 -77.039
38.793 -77.039
38.792 -77.039
38.791 -77.039
38.79 -77.04
38.787 -77.04
38.784 -77.04
38.773 -77.041
38.77 -77.041
38.769 -77.041
38.768 -77.041
38.759 -77.041
38.752 -77.042
38.743 -77.042
38.742 -77.042
38.738 -77.041
38.731 -77.041
38.725 -77.041
38.722 -77.042
38.719 -77.042
38.714 -77.046
38.71 -77.053
38.71 -77.062
38.71 -77.063
38.71 -77.065
38.711 -77.072
38.712 -77.073
38.711 -77.074
38.71 -77.079
38.705 -77.088
38.703 -77.092
38.701 -77.095
38.699 -77.099
38.698 -77.103
38.697 -77.105
38.697 -77.106
38.693 -77.112
38.689 -77.117
38.686 -77.122
38.674 -77.132
38.65 -77.136
38.644 -77.132
38.641 -77.132
38.635 -77.13
38.636 -77.158
38.624 -77.175
38.622 -77.185
38.619 -77.195
38.617 -77.202
38.618 -77.204
38.624 -77.205
38.633 -77.212
38.638 -77.216
38.638 -77.222
38.638 -77.229
38.639 -77.241
38.635 -77.247
38.629 -77.249
38.621 -77.245
38.612 -77.246
38.608 -77.246
38.6 -77.246
38.591 -77.247
38.584 -77.263
38.583 -77.264
38.58 -77.265
38.567 -77.261
38.565 -77.261
38.547 -77.277
38.54 -77.276
38.529 -77.282
38.525 -77.284
38.522 -77.286
38.521 -77.287
38.516 -77.291
38.511 -77.296
38.509 -77.299
38.507 -77.301
38.505 -77.302
38.494 -77.31
38.492 -77.311
38.485 -77.315
38.483 -77.315
38.48 -77.317
38.467 -77.323
38.449 -77.325
38.435 -77.323
38.421 -77.32
38.418 -77.319
38.401 -77.312
38.398 -77.311
38.397 -77.311
38.391 -77.312
38.39 -77.315
38.384 -77.317
38.376 -77.305
38.374 -77.303
38.37 -77.296
38.361 -77.289
38.36 -77.288
38.359 -77.288
38.351 -77.288
38.347 -77.286
38.339 -77.28
38.334 -77.268
38.333 -77.265
38.332 -77.25
38.332 -77.24
38.333 -77.235
38.333 -77.233
38.341 -77.199
38.342 -77.179
38.346 -77.163
38.351 -77.155
38.357 -77.149
38.368 -77.138
38.369 -77.108
38.37 -77.105
38.368 -77.096
38.368 -77.095
38.368 -77.086
38.368 -77.085
38.369 -77.083
38.376 -77.073
38.378 -77.07
38.385 -77.065
38.39 -77.061
38.396 -77.056
38.399 -77.051
38.401 -77.044
38.389 -77.027
38.387 -77.025
38.383 -77.021
38.375 -77.012
38.374 -77.012
38.363 -77.014
38.356 -77.015
38.342 -77.017
38.329 -77.021
38.322 -77.025
38.312 -77.031
38.305 -77.027
38.303 -77.026
38.283 -77.003
38.278 -76.998
38.274 -76.99
38.274 -76.982
38.274 -76.981
38.271 -76.978
38.27 -76.977
38.267 -76.973
38.266 -76.972
38.256 -76.962
38.255 -76.962
38.243 -76.958
38.237 -76.957
38.236 -76.957
38.236 -76.958
38.23 -76.962
38.23 -76.965
38.23 -76.967
38.227 -76.967
38.214 -76.962
38.211 -76.957
38.202 -76.937
38.202 -76.933
38.201 -76.929
38.2 -76.917
38.197 -76.911
38.191 -76.902
38.185 -76.893
38.181 -76.888
38.172 -76.876
38.172 -76.875
38.172 -76.874
38.167 -76.855
38.164 -76.84
38.164 -76.839
38.163 -76.839
38.163 -76.837
38.164 -76.826
38.164 -76.824
38.168 -76.803
38.169 -76.79
38.169 -76.788
38.169 -76.781
38.167 -76.766
38.167 -76.76
38.162 -76.75
38.157 -76.743
38.153 -76.74
38.147 -76.739
38.143 -76.731
38.138 -76.722
38.149 -76.704
38.156 -76.701
38.156 -76.685
38.148 -76.665
38.148 -76.653
38.148 -76.643
38.151 -76.639
38.153 -76.629
38.152 -76.626
38.151 -76.621
38.149 -76.614
38.129 -76.604
38.11 -76.601
38.107 -76.596
38.106 -76.596
38.104 -76.592
38.1 -76.586
38.096 -76.581
38.095 -76.579
38.094 -76.579
38.081 -76.551
38.077 -76.543
38.07 -76.536
38.069 -76.536
38.056 -76.529
38.043 -76.522
38.035 -76.52
38.027 -76.517
38.019 -76.496
38.017 -76.492
38.016 -76.485
38.015 -76.481
38.014 -76.469
38.01 -76.465
37.999 -76.463
37.982 -76.435
37.977 -76.427
37.967 -76.416
37.959 -76.391
37.957 -76.381
37.956 -76.379
37.954 -76.367
37.952 -76.36
37.951 -76.356
37.951 -76.355
37.948 -76.347
37.947 -76.344
37.947 -76.342
37.937 -76.322
37.934 -76.315
37.933 -76.312
37.931 -76.309
37.914 -76.272
37.912 -76.266
37.911 -76.266
37.911 -76.265
37.903 -76.255
37.891 -76.239
37.89 -76.238
37.889 -76.237
37.862 -76.245
37.857 -76.246
37.833 -76.251
37.817 -76.266
37.813 -76.275
37.813 -76.281
37.814 -76.283
37.818 -76.282
37.82 -76.283
37.822 -76.285
37.823 -76.294
37.819 -76.298
37.812 -76.307
37.795 -76.31
37.791 -76.308
37.789 -76.306
37.751 -76.312
37.73 -76.305
37.72 -76.313
37.704 -76.303
37.695 -76.3
37.689 -76.303
37.685 -76.312
37.685 -76.315
37.681 -76.32
37.677 -76.325
37.676 -76.325
37.666 -76.333
37.656 -76.34
37.646 -76.333
37.642 -76.309
37.642 -76.308
37.642 -76.306
37.641 -76.305
37.636 -76.293
37.632 -76.288
37.618 -76.28
37.618 -76.279
37.614 -76.28
37.621 -76.307
37.622 -76.309
37.619 -76.321
37.616 -76.335
37.612 -76.355
37.612 -76.357
37.61 -76.362
37.616 -76.369
37.627 -76.381
37.63 -76.389
37.63 -76.39
37.629 -76.399
37.652 -76.443
37.666 -76.472
37.666 -76.477
37.666 -76.49
37.664 -76.492
37.647 -76.498
37.644 -76.502
37.642 -76.51
37.664 -76.537
37.669 -76.538
37.688 -76.535
37.699 -76.537
37.704 -76.54
37.728 -76.56
37.757 -76.576
37.769 -76.584
37.77 -76.587
37.773 -76.594
37.772 -76.596
37.773 -76.602
37.781 -76.615
37.792 -76.642
37.796 -76.651
37.807 -76.658
37.825 -76.68
37.826 -76.68
37.823 -76.693
37.823 -76.702
37.837 -76.722
37.842 -76.727
37.852 -76.733
37.865 -76.738
37.875 -76.747
37.876 -76.748
37.879 -76.766
37.874 -76.775
37.87 -76.785
37.863 -76.783
37.863 -76.782
37.84 -76.766
37.824 -76.751
37.818 -76.747
37.799 -76.734
37.789 -76.724
37.786 -76.715
37.785 -76.69
37.781 -76.684
37.778 -76.682
37.776 -76.683
37.77 -76.683
37.766 -76.683
37.76 -76.681
37.756 -76.677
37.752 -76.664
37.751 -76.64
37.745 -76.62
37.742 -76.617
37.738 -76.621
37.731 -76.62
37.725 -76.606
37.717 -76.597
37.713 -76.596
37.709 -76.598
37.703 -76.598
37.672 -76.58
37.667 -76.581
37.662 -76.583
37.654 -76.578
37.647 -76.574
37.641 -76.568
37.618 -76.544
37.617 -76.543
37.613 -76.534
37.611 -76.527
37.612 -76.507
37.612 -76.506
37.612 -76.505
37.612 -76.484
37.612 -76.46
37.613 -76.435
37.612 -76.435
37.601 -76.422
37.599 -76.42
37.592 -76.417
37.592 -76.416
37.582 -76.411
37.581 -76.409
37.575 -76.389
37.573 -76.383
37.573 -76.382
37.574 -76.358
37.572 -76.345
37.57 -76.333
37.57 -76.331
37.562 -76.3
37.558 -76.298
37.551 -76.303
37.549 -76.308
37.546 -76.312
37.538 -76.328
37.536 -76.331
37.538 -76.34
37.537 -76.349
37.527 -76.355
37.519 -76.36
37.513 -76.359
37.505 -76.353
37.495 -76.329
37.496 -76.317
37.497 -76.307
37.507 -76.298
37.511 -76.296
37.513 -76.298
37.515 -76.298
37.516 -76.294
37.514 -76.288
37.508 -76.281
37.483 -76.266
37.481 -76.265
37.472 -76.261
37.467 -76.26
37.447 -76.252
37.438 -76.252
37.436 -76.252
37.422 -76.25
37.421 -76.25
37.404 -76.247
37.387 -76.245
37.376 -76.248
37.375 -76.248
37.369 -76.253
37.365 -76.256
37.362 -76.258
37.361 -76.262
37.357 -76.265
37.339 -76.272
37.335 -76.273
37.322 -76.272
37.31 -76.276
37.315 -76.28
37.319 -76.283
37.324 -76.291
37.328 -76.303
37.329 -76.309
37.338 -76.312
37.346 -76.32
37.349 -76.323
37.364 -76.337
37.367 -76.345
37.369 -76.352
37.374 -76.367
37.375 -76.367
37.385 -76.387
37.387 -76.389
37.39 -76.391
37.396 -76.394
37.398 -76.393
37.398 -76.395
37.4 -76.405
37.402 -76.415
37.398 -76.419
37.385 -76.418
37.381 -76.423
37.38 -76.438
37.37 -76.444
37.366 -76.445
37.355 -76.435
37.333 -76.406
37.32 -76.397
37.308 -76.388
37.294 -76.386
37.285 -76.381
37.279 -76.369
37.278 -76.353
37.274 -76.349
37.27 -76.362
37.268 -76.375
37.267 -76.38
37.265 -76.393
37.264 -76.417
37.255 -76.422
37.253 -76.429
37.252 -76.445
37.251 -76.476
37.254 -76.481
37.255 -76.483
37.249 -76.493
37.241 -76.499
37.234 -76.504
37.225 -76.494
37.221 -76.483
37.216 -76.472
37.216 -76.469
37.225 -76.394
37.223 -76.39
37.214 -76.394
37.211 -76.394
37.21 -76.394
37.205 -76.395
37.201 -76.396
37.194 -76.389
37.18 -76.391
37.17 -76.395
37.164 -76.398
37.16 -76.4
37.158 -76.395
37.157 -76.394
37.157 -76.393
37.156 -76.381
37.157 -76.379
37.161 -76.375
37.165 -76.367
37.169 -76.36
37.169 -76.359
37.17 -76.351
37.171 -76.349
37.169 -76.347
37.167 -76.344
37.166 -76.343
37.164 -76.345
37.16 -76.344
37.152 -76.34
37.144 -76.334
37.142 -76.33
37.142 -76.328
37.143 -76.325
37.143 -76.324
37.142 -76.323
37.141 -76.32
37.138 -76.311
37.133 -76.303
37.131 -76.299
37.128 -76.295
37.127 -76.292
37.117 -76.287
37.095 -76.274
37.085 -76.271
37.081 -76.273
37.063 -76.281
37.042 -76.29
37.037 -76.292
37.035 -76.293
37.009 -76.3
37.001 -76.304
37 -76.312
37.002 -76.315
37.009 -76.315
37.013 -76.318
37.014 -76.318
37.014 -76.321
37.015 -76.329
37.015 -76.34
37.015 -76.341
37.007 -76.348
37.003 -76.356
37.003 -76.357
36.999 -76.373
36.998 -76.373
36.998 -76.374
36.996 -76.378
36.993 -76.383
36.99 -76.388
36.982 -76.396
36.972 -76.406
36.97 -76.408
36.969 -76.409
36.963 -76.412
36.964 -76.419
36.97 -76.429
36.975 -76.433
36.981 -76.438
36.998 -76.452
37.005 -76.452
37.005 -76.45
37.008 -76.448
37.008 -76.449
37.019 -76.458
37.02 -76.458
37.028 -76.464
37.036 -76.479
37.041 -76.489
37.047 -76.498
37.055 -76.512
37.055 -76.518
37.063 -76.526
37.068 -76.528
37.07 -76.527
37.078 -76.526
37.079 -76.529
37.082 -76.534
37.084 -76.537
37.082 -76.542
37.076 -76.555
37.078 -76.564
37.08 -76.568
37.097 -76.579
37.119 -76.618
37.127 -76.625
37.142 -76.622
37.144 -76.617
37.16 -76.604
37.167 -76.607
37.167 -76.611
37.175 -76.615
37.179 -76.616
37.192 -76.619
37.199 -76.623
37.207 -76.63
37.216 -76.641
37.221 -76.65
37.223 -76.689
37.221 -76.693
37.219 -76.699
37.214 -76.729
37.214 -76.731
37.204 -76.734
37.195 -76.74
37.193 -76.743
37.19 -76.75
37.192 -76.758
37.206 -76.774
37.209 -76.781
37.208 -76.792
37.206 -76.801
37.202 -76.803
37.198 -76.803
37.192 -76.799
37.189 -76.797
37.182 -76.787
37.162 -76.757
37.151 -76.748
37.146 -76.737
37.146 -76.732
37.145 -76.73
37.148 -76.715
37.174 -76.697
37.186 -76.693
37.196 -76.692
37.199 -76.686
37.184 -76.67
37.174 -76.664
37.171 -76.664
37.167 -76.669
37.159 -76.671
37.142 -76.672
37.141 -76.67
37.138 -76.667
37.13 -76.664
37.11 -76.657
37.101 -76.658
37.097 -76.658
37.096 -76.659
37.094 -76.659
37.076 -76.668
37.064 -76.67
37.055 -76.668
37.046 -76.663
37.045 -76.662
37.044 -76.661
37.04 -76.655
37.039 -76.654
37.036 -76.646
37.036 -76.612
37.029 -76.586
37.023 -76.578
37.007 -76.566
37.004 -76.563
36.999 -76.551
36.984 -76.525
36.981 -76.523
36.978 -76.524
36.973 -76.521
36.968 -76.513
36.968 -76.512
36.965 -76.5
36.952 -76.488
36.929 -76.484
36.917 -76.482
36.901 -76.482
36.896 -76.483
36.892 -76.479
36.883 -76.47
36.884 -76.455
36.887 -76.453
36.893 -76.454
36.903 -76.447
36.906 -76.442
36.905 -76.431
36.897 -76.408
36.898 -76.407
36.9 -76.388
36.923 -76.386
36.923 -76.354
36.925 -76.346
36.919 -76.345
36.917 -76.333
36.918 -76.329
36.939 -76.331
36.959 -76.327
36.959 -76.323
36.955 -76.316
36.966 -76.299
36.967 -76.298
36.968 -76.298
36.969 -76.285
36.966 -76.275
36.965 -76.268
36.959 -76.259
36.95 -76.243
36.945 -76.235
36.942 -76.228
36.94 -76.222
36.938 -76.215
36.935 -76.206
36.934 -76.199
36.931 -76.19
36.929 -76.177
36.923 -76.14
36.922 -76.137
36.92 -76.131
36.917 -76.12
36.909 -76.096
36.909 -76.092
36.909 -76.088
36.909 -76.086
36.91 -76.082
36.911 -76.081
36.913 -76.072
36.917 -76.058
36.928 -76.043
36.932 -76.033
36.931 -76.014
36.929 -76.008
36.922 -75.996
36.915 -75.993
36.911 -75.992
36.889 -75.985
36.877 -75.982
36.86 -75.977
36.853 -75.975
36.845 -75.973
36.842 -75.972
36.83 -75.969
36.819 -75.967
36.812 -75.965
36.761 -75.95
36.692 -75.922
36.689 -75.92
36.631 -75.891
36.584 -75.874
36.551 -75.867
36.551 -75.88
36.551 -75.881
36.551 -75.886
36.551 -75.887
36.551 -75.892
36.551 -75.893
36.551 -75.894
36.551 -75.901
36.551 -75.903
36.551 -75.905
36.551 -75.909
36.551 -75.911
36.551 -75.922
36.551 -75.953
36.551 -75.956
36.551 -75.958
36.551 -76.027
36.551 -76.035
36.551 -76.122
36.551 -76.193
36.551 -76.233
36.551 -76.313
36.551 -76.377
36.551 -76.388
36.551 -76.465
36.551 -76.492
36.55 -76.542
36.551 -76.575
36.551 -76.671
36.551 -76.715
36.551 -76.738
36.55 -76.75
36.551 -76.781
36.551 -76.807
36.552 -76.898
36.552 -76.916
36.551 -76.917
36.546 -76.917
36.544 -76.916
36.544 -76.922
36.544 -77.011
36.545 -77.069
36.545 -77.081
36.545 -77.095
36.545 -77.098
36.544 -77.103
36.544 -77.125
36.544 -77.153
36.546 -77.164
36.547 -77.17
36.546 -77.19
36.545 -77.205
36.545 -77.253
36.545 -77.297
36.545 -77.414
36.545 -77.499
36.545 -77.672
36.546 -77.75
36.545 -77.766
36.545 -77.767
36.545 -77.868
36.545 -77.875
36.545 -77.882
36.545 -77.887
36.545 -77.9
36.544 -78.039
36.544 -78.046
36.544 -78.133
36.544 -78.245
36.544 -78.247
36.544 -78.313
36.544 -78.324
36.543 -78.436
36.543 -78.441
36.542 -78.457
36.542 -78.471
36.542 -78.477
36.542 -78.482
36.541 -78.51
36.541 -78.53
36.541 -78.533
36.541 -78.539
36.541 -78.605
36.541 -78.622
36.541 -78.626
36.542 -78.663
36.542 -78.67
36.542 -78.734
36.542 -78.758
36.542 -78.765
36.542 -78.767
36.542 -78.773
36.542 -78.785
36.542 -78.796
36.542 -78.848
36.542 -78.902
36.542 -78.915
36.542 -78.942
36.542 -78.963
36.542 -78.971
36.542 -78.972
36.542 -78.979
36.542 -79.056
36.542 -79.125
36.542 -79.126
36.542 -79.138
36.542 -79.209
36.541 -79.219
36.541 -79.25
36.541 -79.263
36.541 -79.343
36.541 -79.401
36.541 -79.44
36.541 -79.446
36.541 -79.465
36.541 -79.47
36.541 -79.496
36.541 -79.511
36.541 -79.518
36.541 -79.522
36.542 -79.629
36.542 -79.667
36.542 -79.715
36.542 -79.771
36.543 -79.839
36.543 -79.841
36.543 -79.887
36.542 -79.905
36.542 -79.911
36.542 -79.92
36.542 -79.967
36.543 -79.968
36.542 -80.027
36.543 -80.053
36.543 -80.065
36.543 -80.122
36.543 -80.17
36.543 -80.172
36.543 -80.182
36.543 -80.184
36.543 -80.193
36.544 -80.225
36.544 -80.228
36.544 -80.295
36.545 -80.321
36.548 -80.378
36.55 -80.432
36.55 -80.433
36.551 -80.44
36.552 -80.48
36.555 -80.539
36.556 -80.564
36.557 -80.583
36.558 -80.612
36.558 -80.625
36.559 -80.633
36.559 -80.653
36.56 -80.672
36.562 -80.696
36.562 -80.7
36.562 -80.705
36.562 -80.73
36.56 -80.774
36.561 -80.793
36.561 -80.795
36.561 -80.804
36.559 -80.837
36.559 -80.838
36.562 -80.899
36.562 -80.902
36.563 -80.944
36.563 -80.946
36.563 -80.978
36.563 -80.985
36.564 -81.004
36.564 -81.011
36.567 -81.059
36.567 -81.062
36.567 -81.083
36.568 -81.103
36.569 -81.125
36.569 -81.137
36.57 -81.142
36.57 -81.147
36.57 -81.15
36.571 -81.171
36.572 -81.177
36.572 -81.204
36.573 -81.219
36.573 -81.25
36.574 -81.259
36.574 -81.262
36.574 -81.271
36.575 -81.308
36.575 -81.324
36.575 -81.353
36.575 -81.375
36.577 -81.442
36.577 -81.444
36.577 -81.446
36.578 -81.458
36.58 -81.476
36.579 -81.489
36.58 -81.496
36.58 -81.5
36.581 -81.521
36.587 -81.601
36.588 -81.678
36.612 -81.647
36.612 -81.737
36.613 -81.751
36.613 -81.755
36.614 -81.827
36.615 -81.87
36.616 -81.92
36.616 -81.923
36.594 -81.934
36.594 -82.054
36.595 -82.129
36.595 -82.146
36.595 -82.147
36.595 -82.149
36.595 -82.151
36.595 -82.158
36.595 -82.161
36.595 -82.167
36.595 -82.174
36.595 -82.177
36.595 -82.18
36.595 -82.181
36.595 -82.188
36.595 -82.19
36.596 -82.211
36.596 -82.222
36.596 -82.223
36.596 -82.226
36.596 -82.227
36.596 -82.243
36.596 -82.294
36.596 -82.297
36.596 -82.318
36.595 -82.408
36.594 -82.467
36.596 -82.479
36.596 -82.48
36.596 -82.484
36.596 -82.487
36.596 -82.494
36.595 -82.554
36.595 -82.56
36.595 -82.561
36.595 -82.572
36.594 -82.609
36.594 -82.633
36.594 -82.654
36.594 -82.68
36.594 -82.696
36.594 -82.828
36.594 -82.83
36.593 -82.888
36.594 -82.93
36.594 -82.962
36.594 -82.985
36.594 -83.027
36.594 -83.028
36.594 -83.175
36.594 -83.176
36.594 -83.212
36.594 -83.249
36.594 -83.25
36.594 -83.261
36.598 -83.276
36.598 -83.285
36.598 -83.308
36.598 -83.347
36.597 -83.375
36.597 -83.406
36.597 -83.455
36.597 -83.472
36.597 -83.489
36.597 -83.5
36.597 -83.557
36.598 -83.607
36.598 -83.622
36.598 -83.623
36.6 -83.646
36.601 -83.67
36.601 -83.675
36.603 -83.675
36.605 -83.673
36.606 -83.666
36.607 -83.664
36.612 -83.658
36.617 -83.65
36.623 -83.648
36.624 -83.645
36.625 -83.64
36.623 -83.635
36.624 -83.629
36.625 -83.625
36.628 -83.62
36.628 -83.619
36.63 -83.618
36.631 -83.616
36.634 -83.615
36.637 -83.608
36.638 -83.606
36.638 -83.604
36.637 -83.603
36.637 -83.601
36.641 -83.585
36.642 -83.577
36.646 -83.57
36.648 -83.566
36.651 -83.563
36.654 -83.554
36.654 -83.547
36.657 -83.542
36.662 -83.533
36.663 -83.533
36.664 -83.533
36.664 -83.532
36.665 -83.532
36.665 -83.531
36.666 -83.53
36.666 -83.527
36.668 -83.516
36.669 -83.513
36.669 -83.512
36.669 -83.511
36.669 -83.507
36.669 -83.501
36.67 -83.5
36.67 -83.498
36.67 -83.494
36.668 -83.489
36.666 -83.483
36.665 -83.466
36.665 -83.461
36.666 -83.458
36.665 -83.455
36.665 -83.448
36.667 -83.441
36.666 -83.437
36.666 -83.432
36.667 -83.424
36.668 -83.42
36.67 -83.415
36.671 -83.412
36.677 -83.396
36.678 -83.395
36.679 -83.396
36.679 -83.395
36.685 -83.389
36.687 -83.386
36.693 -83.368
36.695 -83.364
36.695 -83.362
36.694 -83.36
36.694 -83.359
36.695 -83.356
36.696 -83.355
36.697 -83.354
36.697 -83.351
36.698 -83.35
36.701 -83.343
36.702 -83.34
36.708 -83.317
36.708 -83.316
36.708 -83.315
36.709 -83.314
36.709 -83.313
36.71 -83.311
36.711 -83.307
36.712 -83.303
36.714 -83.288
36.714 -83.287
36.715 -83.286
36.718 -83.276
36.718 -83.272
36.718 -83.269
36.721 -83.264
36.722 -83.256
36.725 -83.246
36.727 -83.239
36.727 -83.238
36.727 -83.236
36.729 -83.229
36.731 -83.22
36.737 -83.2
36.739 -83.197
36.739 -83.195
36.739 -83.194
36.74 -83.189
36.74 -83.176
36.739 -83.167
36.74 -83.161
36.742 -83.157
36.742 -83.146
36.743 -83.137
36.743 -83.136
36.747 -83.134
36.75 -83.131
36.751 -83.128
36.756 -83.128
36.758 -83.129
36.761 -83.127
36.761 -83.126
36.762 -83.126
36.764 -83.132
36.766 -83.132
36.767 -83.131
36.768 -83.131
36.77 -83.129
36.776 -83.128
36.776 -83.129
36.777 -83.129
36.781 -83.132
36.785 -83.129
36.787 -83.123
36.79 -83.119
36.796 -83.115
36.8 -83.111
36.802 -83.108
36.807 -83.103
36.813 -83.099
36.814 -83.098
36.823 -83.099
36.825 -83.1
36.827 -83.102
36.828 -83.102
36.829 -83.102
36.832 -83.099
36.834 -83.091
36.835 -83.091
36.836 -83.089
36.838 -83.087
36.841 -83.08
36.841 -83.075
36.845 -83.074
36.851 -83.076
36.855 -83.073
36.854 -83.069
36.852 -83.066
36.852 -83.064
36.854 -83.06
36.852 -83.052
36.852 -83.048
36.853 -83.044
36.854 -83.042
36.855 -83.027
36.855 -83.026
36.852 -83.024
36.85 -83.022
36.847 -83.013
36.847 -83.009
36.848 -83.006
36.852 -83.004
36.852 -83.003
36.857 -82.998
36.859 -82.989
36.86 -82.979
36.859 -82.973
36.858 -82.972
36.858 -82.97
36.86 -82.966
36.86 -82.965
36.861 -82.963
36.863 -82.961
36.866 -82.952
36.866 -82.949
36.867 -82.938
36.874 -82.922
36.874 -82.912
36.874 -82.91
36.875 -82.908
36.876 -82.907
36.877 -82.908
36.878 -82.908
36.879 -82.908
36.879 -82.907
36.88 -82.906
36.882 -82.898
36.882 -82.895
36.884 -82.89
36.887 -82.888
36.888 -82.885
36.889 -82.879
36.89 -82.879
36.892 -82.878
36.893 -82.878
