segment Pakistan
24.656 67.303
24.644 67.307
24.64 67.305
24.635 67.293
segment Pakistan
24.616 67.362
24.619 67.357
24.626 67.353
24.629 67.348
24.625 67.332
24.627 67.329
24.63 67.327
24.633 67.328
24.635 67.333
24.64 67.34
24.644 67.348
24.645 67.356
24.634 67.372
24.63 67.374
24.618 67.368
24.616 67.362
segment Pakistan
24.587 67.293
24.59 67.291
24.614 67.29
24.621 67.292
24.626 67.296
24.632 67.304
24.635 67.312
24.634 67.317
24.631 67.321
24.62 67.327
24.613 67.335
24.611 67.335
24.608 67.333
24.6 67.335
24.596 67.334
24.596 67.322
24.595 67.32
24.59 67.318
24.583 67.318
24.583 67.315
24.587 67.314
24.601 67.317
24.607 67.315
24.61 67.314
24.613 67.308
24.612 67.305
24.602 67.299
24.587 67.293
segment Pakistan
24.609 67.342
24.617 67.34
24.621 67.343
24.621 67.348
24.618 67.349
24.613 67.348
24.61 67.346
24.609 67.342
segment Pakistan
24.588 67.305
24.593 67.301
24.599 67.302
24.603 67.305
24.604 67.309
24.592 67.309
24.588 67.308
24.588 67.305
segment Pakistan
24.525 67.273
24.525 67.27
24.529 67.267
24.529 67.26
24.537 67.253
24.538 67.25
24.538 67.245
24.529 67.243
24.528 67.24
24.54 67.239
24.543 67.236
24.552 67.218
24.557 67.216
24.561 67.217
24.564 67.224
24.568 67.225
24.573 67.222
24.576 67.224
24.577 67.228
24.575 67.233
24.579 67.239
24.579 67.244
24.579 67.253
24.581 67.259
24.579 67.27
24.581 67.286
24.579 67.292
24.575 67.296
24.568 67.299
24.564 67.305
24.561 67.306
24.559 67.3
24.555 67.299
24.548 67.303
24.543 67.3
24.54 67.296
24.538 67.287
24.533 67.284
24.529 67.276
24.525 67.273
segment Pakistan
24.502 67.351
24.51 67.333
24.514 67.328
24.521 67.325
24.525 67.322
24.527 67.315
24.525 67.312
24.519 67.308
24.518 67.307
24.518 67.304
24.526 67.294
24.529 67.293
24.533 67.296
24.537 67.304
24.544 67.308
24.546 67.312
24.547 67.32
24.544 67.333
24.543 67.348
24.535 67.359
24.529 67.362
24.525 67.361
24.518 67.357
24.502 67.351
segment Pakistan
24.467 67.275
24.468 67.272
24.474 67.268
24.474 67.261
24.477 67.257
24.487 67.254
24.49 67.256
24.491 67.266
24.494 67.274
24.496 67.275
24.498 67.267
24.51 67.268
24.519 67.268
24.52 67.269
24.518 67.279
24.525 67.284
24.526 67.288
24.521 67.293
24.51 67.306
24.5 67.313
24.494 67.31
24.492 67.306
24.481 67.303
24.474 67.305
24.471 67.303
24.467 67.275
segment Pakistan
24.49 67.341
24.49 67.336
24.494 67.336
24.508 67.314
24.51 67.313
24.517 67.316
24.52 67.319
24.51 67.326
24.504 67.335
24.498 67.347
24.496 67.348
24.494 67.347
24.491 67.345
24.49 67.341
segment Pakistan
24.47 67.321
24.47 67.316
24.475 67.31
24.483 67.31
24.496 67.32
24.497 67.324
24.492 67.329
24.486 67.324
24.472 67.323
24.47 67.321
segment Pakistan
24.432 67.306
24.434 67.301
24.442 67.297
24.45 67.302
24.452 67.309
24.451 67.312
24.451 67.316
24.453 67.336
24.453 67.346
24.455 67.35
24.457 67.362
24.455 67.371
24.453 67.373
24.45 67.372
24.442 67.36
24.44 67.353
24.443 67.348
24.441 67.343
24.442 67.337
24.432 67.306
segment Pakistan
24.423 67.335
24.426 67.329
24.427 67.322
24.423 67.315
24.422 67.311
24.424 67.306
24.426 67.307
24.428 67.31
24.429 67.321
24.434 67.335
24.436 67.346
24.437 67.353
24.434 67.361
24.429 67.365
24.423 67.367
24.416 67.366
24.412 67.363
24.41 67.358
24.417 67.344
24.416 67.342
24.413 67.344
24.41 67.344
24.405 67.339
24.4 67.338
24.394 67.34
24.391 67.339
24.391 67.332
24.393 67.327
24.393 67.322
24.391 67.308
24.394 67.305
24.406 67.31
24.412 67.31
24.416 67.309
24.416 67.316
24.42 67.322
24.42 67.333
24.418 67.34
24.423 67.335
segment Pakistan
24.434 67.377
24.435 67.386
24.433 67.393
24.43 67.395
24.427 67.395
24.424 67.391
24.422 67.386
24.422 67.379
24.423 67.374
24.426 67.371
24.429 67.372
24.434 67.377
segment Pakistan
24.365 67.315
24.378 67.309
24.383 67.31
24.386 67.316
24.384 67.33
24.382 67.333
24.377 67.335
24.373 67.334
24.365 67.315
segment Pakistan
24.357 67.358
24.357 67.353
24.361 67.339
24.364 67.337
24.367 67.338
24.37 67.341
24.378 67.346
24.384 67.356
24.382 67.357
24.369 67.356
24.36 67.359
24.357 67.358
segment Pakistan
24.071 67.405
24.074 67.409
24.077 67.409
24.081 67.411
24.081 67.413
24.079 67.415
24.072 67.417
24.068 67.423
24.065 67.422
24.059 67.413
24.063 67.41
24.066 67.41
24.071 67.405
segment Pakistan
23.801 68.085
23.808 68.09
23.812 68.091
23.831 68.118
23.831 68.12
23.822 68.132
23.818 68.145
23.817 68.155
23.819 68.161
23.825 68.167
23.823 68.173
23.826 68.173
23.841 68.167
23.844 68.167
23.843 68.184
23.837 68.186
23.788 68.191
23.781 68.19
23.763 68.179
23.759 68.175
23.738 68.159
23.725 68.148
23.722 68.157
23.72 68.159
23.71 68.159
23.702 68.155
23.699 68.15
23.695 68.137
23.695 68.131
23.699 68.125
23.705 68.12
23.727 68.103
23.718 68.102
23.725 68.093
23.723 68.091
23.718 68.091
23.714 68.095
23.706 68.111
23.703 68.114
23.699 68.111
23.698 68.107
23.711 68.071
23.717 68.057
23.717 68.049
23.716 68.044
23.713 68.04
23.711 68.04
23.712 68.048
23.71 68.05
23.705 68.045
23.706 68.036
23.708 68.034
23.713 68.033
23.721 68.035
23.749 68.062
23.746 68.065
23.745 68.068
23.748 68.071
23.752 68.069
23.756 68.066
23.795 68.074
23.799 68.077
23.801 68.085
segment Pakistan
25.583 66.361
25.584 66.356
25.589 66.35
25.592 66.351
25.591 66.354
25.585 66.361
25.583 66.361
segment Pakistan
25.579 66.379
25.587 66.369
25.59 66.371
25.585 66.375
25.581 66.382
25.579 66.379
segment Pakistan
25.555 66.384
25.553 66.381
25.563 66.38
25.568 66.381
25.569 66.384
25.565 66.387
25.555 66.384
segment Pakistan
25.551 66.353
25.552 66.349
25.556 66.349
25.562 66.343
25.564 66.344
25.564 66.348
25.56 66.352
25.554 66.354
25.551 66.353
segment Pakistan
25.53 66.184
25.532 66.18
25.54 66.181
25.541 66.179
25.542 66.179
25.544 66.177
25.54 66.17
25.539 66.165
25.541 66.162
25.544 66.163
25.548 66.167
25.561 66.189
25.568 66.197
25.573 66.205
25.572 66.206
25.568 66.204
25.562 66.197
25.557 66.194
25.552 66.194
25.537 66.198
25.533 66.195
25.53 66.184
segment Pakistan
25.522 66.423
25.532 66.403
25.538 66.397
25.544 66.393
25.549 66.394
25.552 66.395
25.553 66.401
25.558 66.41
25.556 66.416
25.552 66.42
25.548 66.422
25.545 66.421
25.536 66.413
25.533 66.415
25.528 66.422
25.526 66.424
25.522 66.423
segment Pakistan
25.451 66.504
25.453 66.504
25.456 66.506
25.461 66.517
25.467 66.521
25.467 66.529
25.464 66.53
25.46 66.528
25.456 66.523
25.456 66.516
25.451 66.504
segment Pakistan
33.736 70
33.74 69.992
33.763 69.97
33.782 69.963
33.817 69.956
33.828 69.946
33.84 69.926
33.853 69.916
33.875 69.912
33.89 69.904
33.91 69.883
33.927 69.866
33.94 69.861
33.956 69.866
33.968 69.877
33.977 69.895
33.985 69.901
33.993 69.901
34.01 69.897
34.028 69.898
34.038 69.913
34.038 69.966
34.041 69.987
34.048 70
34.049 70.002
34.049 70.012
34.04 70.019
34.04 70.024
34.037 70.046
34.024 70.067
34.015 70.08
34.008 70.1
34.011 70.112
34.012 70.136
34.008 70.154
33.999 70.169
33.985 70.198
33.981 70.224
33.973 70.239
33.978 70.261
33.98 70.279
33.973 70.298
33.975 70.298
33.963 70.326
33.963 70.404
33.96 70.426
33.954 70.439
33.943 70.468
33.944 70.502
33.949 70.511
33.952 70.525
33.946 70.539
33.951 70.548
33.958 70.56
33.964 70.594
33.957 70.631
33.954 70.651
33.96 70.676
33.961 70.701
33.96 70.74
33.961 70.751
33.955 70.768
33.958 70.779
33.968 70.788
33.975 70.809
33.982 70.824
33.981 70.851
33.978 70.869
33.977 70.885
33.982 70.899
34.001 70.916
34.01 70.918
34.012 70.925
34.012 70.936
34.019 70.955
34.029 70.983
34.029 70.999
34.037 71.018
34.051 71.034
34.049 71.042
34.052 71.065
34.063 71.076
34.08 71.077
34.106 71.073
34.113 71.08
34.149 71.109
34.162 71.126
34.179 71.126
34.204 71.124
34.214 71.128
34.225 71.135
34.237 71.127
34.255 71.121
34.267 71.122
34.281 71.13
34.313 71.157
34.323 71.158
34.339 71.171
34.358 71.171
34.364 71.169
34.37 71.154
34.379 71.118
34.389 71.087
34.396 71.076
34.412 71.065
34.427 71.054
34.448 71.023
34.461 71.007
34.492 70.995
34.528 70.993
34.555 70.996
34.567 71.004
34.573 71.018
34.577 71.054
34.582 71.074
34.59 71.087
34.62 71.107
34.63 71.111
34.642 71.106
34.661 71.096
34.676 71.096
34.699 71.106
34.71 71.115
34.71 71.137
34.716 71.144
34.724 71.154
34.73 71.171
34.737 71.182
34.747 71.196
34.748 71.219
34.753 71.225
34.76 71.23
34.791 71.246
34.798 71.271
34.805 71.279
34.834 71.292
34.85 71.296
34.865 71.301
34.879 71.31
34.89 71.328
34.903 71.344
34.912 71.354
34.916 71.37
34.917 71.385
34.922 71.401
34.931 71.422
34.938 71.433
34.945 71.446
34.953 71.476
34.962 71.486
34.964 71.499
34.972 71.506
34.981 71.51
34.993 71.51
35 71.515
35.004 71.518
35.013 71.535
35.019 71.552
35.028 71.556
35.038 71.547
35.054 71.539
35.064 71.534
35.072 71.53
35.09 71.536
35.108 71.553
35.129 71.585
35.136 71.604
35.14 71.617
35.149 71.629
35.165 71.639
35.197 71.675
35.207 71.677
35.219 71.672
35.223 71.658
35.227 71.635
35.236 71.623
35.258 71.596
35.274 71.57
35.284 71.559
35.296 71.554
35.313 71.556
35.409 71.623
35.421 71.641
35.432 71.646
35.445 71.651
35.452 71.649
35.463 71.636
35.485 71.606
35.498 71.593
35.518 71.594
35.533 71.599
35.554 71.611
35.569 71.614
35.573 71.612
35.577 71.601
35.583 71.578
35.592 71.556
35.605 71.526
35.616 71.51
35.626 71.499
35.64 71.5
35.658 71.51
35.688 71.539
35.705 71.547
35.72 71.547
35.729 71.533
35.734 71.522
35.744 71.498
35.754 71.485
35.763 71.481
35.775 71.481
35.796 71.489
35.803 71.49
35.827 71.467
35.84 71.462
35.882 71.43
35.89 71.418
35.891 71.407
35.892 71.393
35.902 71.381
35.908 71.381
35.919 71.384
35.944 71.381
35.956 71.377
35.96 71.362
35.96 71.35
35.962 71.332
35.965 71.319
35.98 71.303
35.99 71.285
35.994 71.261
35.997 71.254
36.019 71.229
36.026 71.215
36.036 71.201
36.049 71.199
36.071 71.208
36.091 71.228
36.093 71.242
36.098 71.244
36.114 71.243
36.123 71.245
36.129 71.255
36.145 71.284
36.158 71.31
36.168 71.341
36.173 71.347
36.181 71.352
36.199 71.359
36.202 71.367
36.205 71.385
36.213 71.4
36.228 71.419
36.261 71.434
36.27 71.442
36.272 71.457
36.283 71.469
36.296 71.485
36.3 71.521
36.309 71.521
36.321 71.524
36.326 71.536
36.329 71.569
36.347 71.572
36.355 71.56
36.369 71.556
36.376 71.565
36.391 71.593
36.409 71.614
36.43 71.622
36.453 71.624
36.472 71.636
36.478 71.656
36.472 71.673
36.461 71.688
36.456 71.707
36.448 71.724
36.424 71.758
36.401 71.796
36.396 71.817
36.395 71.844
36.399 71.857
36.415 71.865
36.429 71.862
36.435 71.829
36.442 71.819
36.462 71.818
36.486 71.822
36.505 71.832
36.505 71.885
36.505 71.909
36.517 71.917
36.524 71.917
36.549 71.928
36.561 71.935
36.567 71.964
36.568 72.013
36.596 72.059
36.597 72.097
36.606 72.106
36.633 72.097
36.649 72.103
36.65 72.116
36.652 72.141
36.66 72.166
36.655 72.192
36.664 72.214
36.677 72.204
36.694 72.197
36.738 72.227
36.753 72.241
36.745 72.303
36.746 72.314
36.759 72.337
36.758 72.368
36.762 72.39
36.777 72.411
36.778 72.495
36.782 72.504
36.793 72.508
36.823 72.545
36.832 72.566
36.842 72.627
36.848 72.632
36.85 72.656
36.844 72.685
36.842 72.718
36.851 72.75
36.849 72.763
36.845 72.782
36.848 72.799
36.843 72.825
36.841 72.871
36.841 72.883
36.847 72.908
36.846 72.924
36.849 72.93
36.872 72.953
36.873 72.969
36.862 72.997
36.861 73.027
36.874 73.047
36.889 73.072
36.888 73.088
36.887 73.122
36.894 73.144
36.885 73.182
36.883 73.189
36.89 73.216
36.887 73.233
36.89 73.262
36.889 73.273
36.879 73.289
36.874 73.298
36.873 73.307
36.88 73.318
36.885 73.336
36.885 73.348
36.881 73.357
36.886 73.372
36.896 73.389
36.899 73.403
36.897 73.417
36.893 73.441
36.897 73.47
36.895 73.506
36.892 73.516
36.886 73.528
36.889 73.55
36.897 73.578
36.903 73.586
36.908 73.598
36.905 73.619
36.903 73.64
36.911 73.663
36.913 73.693
36.913 73.705
36.905 73.714
36.901 73.725
36.901 73.734
36.902 73.737
36.905 73.74
36.906 73.75
36.902 73.763
36.901 73.776
36.903 73.785
36.901 73.791
36.895 73.794
36.89 73.8
36.893 73.808
36.898 73.822
36.899 73.847
36.885 73.879
36.879 73.884
36.879 73.89
36.881 73.908
36.876 73.917
36.867 73.936
36.838 73.963
36.833 73.98
36.834 74
36.837 74.006
36.835 74.014
36.833 74.025
36.829 74.031
36.829 74.053
36.844 74.079
36.846 74.085
36.846 74.094
36.841 74.11
36.842 74.12
36.848 74.127
36.872 74.134
36.896 74.141
36.906 74.148
36.91 74.152
36.912 74.166
36.91 74.191
36.908 74.21
36.9 74.236
36.9 74.252
36.901 74.255
36.904 74.264
36.93 74.311
36.944 74.331
36.965 74.354
36.974 74.374
36.975 74.38
36.98 74.401
36.988 74.413
36.996 74.421
36.998 74.428
37 74.498
36.999 74.517
36.993 74.525
36.99 74.528
36.965 74.537
36.961 74.541
36.96 74.551
36.96 74.558
36.964 74.563
36.987 74.569
37.022 74.573
37.034 74.572
37.044 74.604
37.05 74.611
37.06 74.616
37.077 74.611
37.083 74.612
37.089 74.62
37.094 74.644
37.097 74.677
37.097 74.678
37.095 74.683
37.086 74.691
37.048 74.705
37.025 74.729
37.022 74.742
37.021 74.749
37.026 74.769
37.03 74.778
37.032 74.783
37.045 74.796
37.06 74.822
37.063 74.828
37.062 74.832
37.056 74.835
37.02 74.835
36.995 74.848
36.988 74.851
36.951 74.888
36.942 74.9
36.935 74.922
36.939 74.932
36.961 74.958
36.961 74.959
36.986 74.994
36.992 75
37.001 75.008
37.008 75.017
37.011 75.025
37.016 75.04
37.014 75.047
37.005 75.066
37.007 75.085
37.01 75.117
37.02 75.147
37.015 75.156
37.008 75.164
37 75.164
36.989 75.166
36.979 75.181
36.972 75.206
36.97 75.213
36.96 75.23
36.958 75.237
36.956 75.254
36.965 75.278
36.965 75.299
36.952 75.347
36.95 75.353
36.944 75.372
36.943 75.402
36.939 75.409
36.935 75.41
36.929 75.404
36.924 75.395
36.917 75.39
36.91 75.389
36.894 75.398
36.884 75.413
36.878 75.417
36.876 75.418
36.854 75.422
36.836 75.428
36.815 75.422
36.796 75.42
36.772 75.423
36.754 75.436
36.742 75.445
36.722 75.454
36.717 75.465
36.716 75.469
36.718 75.474
36.73 75.489
36.731 75.499
36.723 75.522
36.723 75.531
36.732 75.538
36.741 75.536
36.742 75.536
36.749 75.528
36.754 75.527
36.762 75.532
36.767 75.546
36.765 75.561
36.771 75.597
36.769 75.629
36.769 75.652
36.768 75.656
36.763 75.674
36.757 75.683
36.751 75.697
36.752 75.716
36.746 75.73
36.713 75.789
36.711 75.793
36.701 75.81
36.684 75.832
36.675 75.852
36.649 75.878
36.628 75.908
36.62 75.919
36.605 75.928
36.587 75.934
36.583 75.934
36.558 75.929
36.549 75.933
36.542 75.941
36.529 75.96
36.52 75.966
36.498 75.982
36.453 76.008
36.409 76.025
36.404 76.026
36.398 76.028
36.389 76.025
36.37 76.004
36.348 75.987
36.338 75.983
36.313 75.989
36.293 75.988
36.293 75.992
36.289 76.01
36.281 76.017
36.267 76.025
36.258 76.036
36.254 76.038
36.253 76.042
36.237 76.053
36.227 76.056
36.221 76.054
36.219 76.046
36.228 76.022
36.227 76.018
36.227 76.016
36.221 76.006
36.216 76.001
36.198 76.003
36.186 76.002
36.177 76.016
36.167 76.019
36.163 76
36.163 75.977
36.16 75.966
36.155 75.961
36.153 75.961
36.143 75.962
36.135 75.946
36.134 75.937
36.125 75.933
36.115 75.945
36.104 75.943
36.095 75.939
36.069 75.946
36.063 75.953
36.054 75.967
36.049 75.976
36.028 75.988
36.022 75.995
36.018 76.002
36.021 76.053
36.018 76.08
36.014 76.092
36.01 76.095
36.007 76.099
35.992 76.104
35.976 76.114
35.938 76.155
35.928 76.162
35.917 76.166
35.903 76.164
35.886 76.162
35.854 76.164
35.838 76.169
35.833 76.175
35.833 76.185
35.847 76.208
35.851 76.222
35.851 76.235
35.851 76.249
35.844 76.288
35.844 76.294
35.833 76.338
35.833 76.349
35.837 76.358
35.846 76.368
35.855 76.374
35.867 76.386
35.871 76.393
35.873 76.402
35.87 76.437
35.871 76.449
35.875 76.456
35.89 76.469
35.893 76.475
35.892 76.482
35.887 76.506
35.895 76.523
35.907 76.538
35.918 76.555
35.918 76.567
35.915 76.577
35.906 76.588
35.893 76.591
35.881 76.587
35.851 76.579
35.832 76.58
35.819 76.578
35.813 76.579
35.803 76.591
35.785 76.596
35.77 76.616
35.769 76.619
35.765 76.632
35.763 76.654
35.758 76.666
35.751 76.675
35.691 76.731
35.686 76.736
35.674 76.752
35.67 76.764
35.671 76.777
35.677 76.799
35.678 76.818
35.677 76.83
35.671 76.852
35.663 76.87
35.652 76.886
35.638 76.902
35.616 76.933
35.606 76.954
35.602 76.973
35.6 76.997
35.6 76.999
35.604 77.035
35.599 77.057
35.586 77.074
35.575 77.084
35.567 77.094
35.561 77.108
35.557 77.127
35.554 77.131
35.542 77.148
35.536 77.172
35.528 77.187
35.527 77.202
35.533 77.226
35.535 77.267
35.535 77.275
35.534 77.29
35.531 77.312
35.523 77.334
35.513 77.346
35.486 77.367
35.473 77.384
35.47 77.396
35.469 77.401
35.469 77.427
35.477 77.474
35.496 77.536
35.494 77.545
35.494 77.547
35.481 77.581
35.477 77.606
35.477 77.623
35.482 77.649
35.479 77.681
35.48 77.694
35.48 77.696
35.485 77.711
35.503 77.748
35.512 77.774
35.517 77.798
35.518 77.816
35.515 77.826
35.51 77.836
35.504 77.841
35.485 77.815
35.46 77.775
35.451 77.76
35.434 77.736
35.375 77.661
35.367 77.651
35.324 77.585
35.298 77.54
35.267 77.485
35.234 77.443
35.22 77.419
35.199 77.384
35.198 77.379
35.148 77.301
35.146 77.295
35.138 77.281
35.079 77.195
35.067 77.176
35.055 77.157
35.039 77.11
35.026 77.081
35.024 77.068
35.032 77.037
35.041 77.027
35.038 77.018
35.035 77.014
35.028 77.011
35.016 77.01
35 77.011
34.973 77.011
34.967 77.011
34.956 77.01
34.939 76.997
34.935 76.989
34.936 76.97
34.941 76.95
34.962 76.908
34.963 76.901
34.964 76.898
34.97 76.884
34.972 76.87
34.971 76.863
34.964 76.853
34.958 76.848
34.942 76.826
34.935 76.811
34.934 76.804
34.936 76.799
34.933 76.764
34.933 76.762
34.927 76.749
34.918 76.743
34.902 76.739
34.865 76.743
34.845 76.745
34.84 76.743
34.831 76.738
34.821 76.727
34.801 76.706
34.779 76.697
34.763 76.687
34.76 76.682
34.757 76.672
34.757 76.653
34.756 76.618
34.756 76.58
34.758 76.571
34.758 76.562
34.766 76.545
34.784 76.514
34.792 76.49
34.794 76.477
34.794 76.474
34.792 76.469
34.764 76.437
34.762 76.428
34.752 76.41
34.736 76.386
34.735 76.351
34.734 76.34
34.732 76.316
34.724 76.302
34.712 76.29
34.702 76.283
34.694 76.275
34.684 76.26
34.673 76.234
34.672 76.227
34.659 76.198
34.655 76.193
34.643 76.158
34.642 76.139
34.644 76.131
34.647 76.122
34.667 76.093
34.671 76.086
34.676 76.074
34.676 76.055
34.67 76.036
34.664 76.025
34.654 76.014
34.636 76
34.63 75.992
34.629 75.983
34.633 75.968
34.634 75.967
34.631 75.946
34.624 75.932
34.605 75.919
34.601 75.912
34.591 75.881
34.575 75.843
34.573 75.841
34.559 75.821
34.548 75.81
34.534 75.793
34.522 75.769
34.516 75.749
34.516 75.729
34.518 75.714
34.522 75.692
34.534 75.644
34.539 75.616
34.54 75.592
34.539 75.565
34.538 75.552
34.54 75.521
34.538 75.517
34.537 75.506
34.539 75.479
34.543 75.465
34.547 75.414
34.549 75.395
34.552 75.378
34.562 75.351
34.572 75.335
34.602 75.279
34.611 75.262
34.618 75.258
34.635 75.267
34.64 75.266
34.644 75.26
34.647 75.25
34.648 75.236
34.646 75.207
34.657 75.178
34.657 75.177
34.66 75.165
34.662 75.142
34.658 75.111
34.656 75.106
34.655 75.085
34.647 75.055
34.644 75.051
34.641 75.042
34.641 75.03
34.642 75.019
34.647 75.004
34.649 75
34.651 74.998
34.666 74.947
34.678 74.928
34.683 74.911
34.684 74.894
34.684 74.89
34.678 74.854
34.678 74.836
34.683 74.787
34.683 74.772
34.685 74.766
34.684 74.763
34.687 74.739
34.689 74.728
34.693 74.703
34.701 74.671
34.711 74.658
34.734 74.639
34.738 74.632
34.742 74.618
