segment Vietnam
12.482 109.302
12.481 109.297
12.482 109.295
12.484 109.295
12.49 109.298
12.491 109.3
12.49 109.305
segment Vietnam
12.482 109.35
12.485 109.35
12.486 109.353
12.485 109.354
12.482 109.356
12.482 109.36
12.478 109.362
12.477 109.365
12.475 109.366
12.473 109.365
12.474 109.361
12.471 109.358
12.473 109.356
12.477 109.355
12.479 109.351
12.482 109.35
segment Vietnam
12.442 109.18
12.444 109.175
12.448 109.171
12.45 109.176
12.448 109.183
12.445 109.181
12.442 109.183
12.442 109.18
segment Vietnam
12.423 109.151
12.427 109.147
12.43 109.148
12.43 109.15
12.429 109.154
12.425 109.157
12.421 109.156
12.423 109.151
segment Vietnam
12.374 109.238
12.378 109.23
12.381 109.229
12.39 109.234
12.39 109.237
12.386 109.243
12.378 109.244
12.375 109.242
12.374 109.238
segment Vietnam
12.348 109.381
12.359 109.375
12.362 109.376
12.362 109.379
12.35 109.389
12.348 109.388
12.348 109.381
segment Vietnam
12.176 109.229
12.177 109.227
12.18 109.228
12.185 109.224
12.187 109.227
12.19 109.228
12.189 109.231
12.19 109.237
12.188 109.239
12.184 109.234
12.177 109.231
12.176 109.229
segment Vietnam
12.197 109.305
12.192 109.295
12.187 109.291
12.185 109.292
12.178 109.298
12.176 109.297
12.175 109.287
12.178 109.278
12.191 109.271
12.193 109.263
12.2 109.252
12.205 109.248
12.215 109.246
12.218 109.244
12.219 109.237
12.222 109.235
12.226 109.239
12.227 109.242
12.227 109.243
12.225 109.248
12.218 109.25
12.217 109.256
12.209 109.26
12.208 109.263
12.212 109.266
12.219 109.263
12.227 109.266
12.229 109.268
12.223 109.275
12.221 109.283
12.224 109.296
12.222 109.3
12.217 109.301
12.215 109.305
12.207 109.309
12.208 109.312
12.218 109.316
12.218 109.321
12.213 109.323
12.212 109.332
12.205 109.333
12.2 109.331
12.194 109.332
12.193 109.335
12.189 109.336
12.186 109.335
12.184 109.328
12.179 109.326
12.179 109.321
12.182 109.318
12.188 109.325
12.185 109.316
12.185 109.308
12.186 109.302
12.189 109.299
12.197 109.305
segment Vietnam
12.165 109.246
12.171 109.239
12.172 109.24
12.173 109.251
12.166 109.255
12.165 109.246
segment Vietnam
12.155 109.316
12.159 109.312
12.16 109.307
12.158 109.302
12.162 109.3
12.166 109.302
12.167 109.306
12.163 109.317
12.16 109.319
12.156 109.318
12.155 109.316
segment Vietnam
11.828 109.236
11.83 109.233
11.839 109.229
11.847 109.226
11.85 109.228
11.849 109.231
11.842 109.237
11.842 109.243
11.848 109.248
11.849 109.251
11.847 109.253
11.838 109.256
11.834 109.253
11.832 109.244
11.829 109.24
11.828 109.236
segment Vietnam
11.774 109.225
11.774 109.223
11.78 109.218
11.784 109.218
11.783 109.221
11.783 109.226
11.782 109.227
11.774 109.225
segment Vietnam
11.219 108.827
11.222 108.824
11.226 108.826
11.226 108.832
11.229 108.839
11.227 108.84
11.221 108.837
11.219 108.833
11.219 108.827
segment Vietnam
10.502 108.95
10.503 108.944
10.51 108.93
10.515 108.927
10.522 108.924
10.525 108.924
10.535 108.922
10.544 108.916
10.555 108.926
10.554 108.931
10.554 108.943
10.549 108.952
10.542 108.951
10.537 108.952
10.53 108.957
10.523 108.96
10.514 108.968
10.506 108.961
10.503 108.957
10.502 108.95
segment Vietnam
10.484 108.96
10.486 108.959
10.495 108.961
10.496 108.964
10.491 108.967
10.489 108.965
10.485 108.964
10.484 108.96
segment Vietnam
10.479 107.015
10.479 107.011
10.482 107.008
10.485 107.003
10.488 107.004
10.488 107.013
10.482 107.016
10.479 107.015
segment Vietnam
10.47 106.978
10.456 106.977
10.447 106.971
10.446 106.967
10.448 106.962
10.455 106.97
10.465 106.973
10.47 106.978
segment Vietnam
10.393 107.094
10.406 107.096
10.41 107.101
10.408 107.102
10.402 107.101
10.396 107.098
10.393 107.094
segment Vietnam
10.195 106.766
10.197 106.761
10.204 106.758
10.21 106.759
10.213 106.762
10.215 106.775
10.22 106.786
10.22 106.789
10.216 106.795
10.212 106.798
10.202 106.789
10.201 106.776
10.195 106.766
segment Vietnam
19.781 105.896
19.783 105.895
19.792 105.903
19.794 105.907
19.791 105.909
19.784 105.906
19.781 105.896
segment Vietnam
19.36 105.933
19.36 105.93
19.367 105.923
19.369 105.917
19.381 105.921
19.38 105.928
19.382 105.933
19.377 105.941
19.375 105.942
19.372 105.939
19.36 105.933
segment Vietnam
19.346 105.939
19.351 105.933
19.357 105.935
19.357 105.938
19.353 105.941
19.35 105.94
19.347 105.941
19.346 105.939
segment Vietnam
19.307 105.829
19.307 105.825
19.309 105.823
19.314 105.824
19.32 105.82
19.329 105.818
19.335 105.818
19.336 105.822
19.342 105.823
19.338 105.829
19.335 105.829
19.325 105.826
19.319 105.828
19.307 105.829
segment Vietnam
18.796 105.776
18.8 105.774
18.803 105.775
18.803 105.779
18.807 105.781
18.808 105.784
18.803 105.787
18.801 105.785
18.796 105.776
segment Vietnam
18.805 105.959
18.799 105.968
18.795 105.971
18.793 105.97
18.792 105.967
18.803 105.958
18.805 105.959
segment Vietnam
18.097 106.459
18.098 106.456
18.1 106.456
18.104 106.462
18.105 106.467
18.103 106.468
18.102 106.467
18.097 106.459
segment Vietnam
17.152 107.347
17.152 107.341
17.154 107.339
17.157 107.338
17.162 107.339
17.162 107.344
17.165 107.348
17.159 107.349
17.152 107.347
segment Vietnam
16.341 107.895
16.345 107.889
16.343 107.881
16.358 107.86
16.353 107.859
16.353 107.857
16.359 107.851
16.385 107.831
16.388 107.825
16.402 107.811
16.408 107.803
16.427 107.786
16.428 107.78
16.442 107.773
16.445 107.769
16.461 107.76
16.466 107.755
16.467 107.749
16.488 107.744
16.496 107.737
16.497 107.735
16.497 107.733
16.494 107.73
16.495 107.728
16.503 107.724
16.515 107.713
16.519 107.706
16.519 107.696
16.529 107.694
16.533 107.691
16.535 107.682
16.551 107.665
16.552 107.658
16.56 107.647
16.559 107.643
16.563 107.639
16.564 107.633
16.566 107.633
16.567 107.639
16.557 107.664
16.511 107.731
16.507 107.738
16.503 107.746
16.48 107.771
16.425 107.836
16.423 107.838
16.412 107.847
16.38 107.885
16.368 107.903
16.369 107.905
16.367 107.908
16.358 107.916
16.354 107.917
16.347 107.912
16.341 107.904
16.342 107.9
16.341 107.895
segment Vietnam
16.338 107.839
16.34 107.838
16.348 107.843
16.35 107.847
16.346 107.848
16.343 107.847
16.338 107.839
segment Vietnam
16.209 108.202
16.211 108.201
16.219 108.205
16.223 108.209
16.217 108.213
16.21 108.211
16.209 108.202
segment Vietnam
15.962 108.451
15.969 108.448
15.978 108.453
15.978 108.456
15.974 108.459
15.963 108.454
15.962 108.451
segment Vietnam
15.919 108.542
15.92 108.536
15.925 108.534
15.933 108.526
15.935 108.519
15.938 108.517
15.939 108.514
15.952 108.511
15.954 108.507
15.955 108.505
15.952 108.501
15.952 108.498
15.956 108.494
15.957 108.49
15.961 108.488
15.964 108.489
15.971 108.5
15.974 108.507
15.969 108.515
15.96 108.518
15.958 108.521
15.954 108.532
15.953 108.541
15.95 108.542
15.937 108.54
15.931 108.542
15.926 108.541
15.92 108.543
15.919 108.542
segment Vietnam
15.934 108.483
15.939 108.48
15.943 108.481
15.945 108.489
15.942 108.491
15.939 108.49
15.934 108.487
15.934 108.483
segment Vietnam
15.897 108.542
15.898 108.538
15.901 108.535
15.904 108.536
15.907 108.539
15.91 108.546
15.901 108.547
15.899 108.546
15.897 108.542
segment Vietnam
15.387 109.11
15.385 109.125
15.386 109.131
15.384 109.137
15.384 109.148
15.382 109.15
15.38 109.151
15.379 109.15
15.377 109.147
15.375 109.147
15.373 109.148
15.372 109.147
15.37 109.139
15.364 109.127
15.364 109.12
15.367 109.111
15.374 109.098
15.377 109.097
15.384 109.101
15.387 109.11
segment Vietnam
21.434 107.971
21.435 107.971
21.438 107.97
21.449 107.974
21.451 107.978
21.459 107.984
21.462 107.991
21.466 107.992
21.478 107.99
21.48 107.992
21.486 108.009
21.487 108.013
21.484 108.022
21.485 108.028
21.491 108.04
21.495 108.055
21.495 108.065
21.495 108.067
21.493 108.072
21.49 108.074
21.487 108.072
21.485 108.065
21.484 108.046
21.481 108.034
21.475 108.022
21.468 108.01
21.452 107.992
21.441 107.983
21.434 107.971
segment Vietnam
21.412 107.931
21.414 107.929
21.42 107.926
21.421 107.922
21.426 107.92
21.424 107.914
21.427 107.914
21.44 107.917
21.441 107.922
21.438 107.929
21.435 107.926
21.433 107.93
21.429 107.933
21.429 107.938
21.424 107.937
21.423 107.944
21.421 107.946
21.415 107.941
21.413 107.936
21.412 107.931
segment Vietnam
21.363 107.875
21.373 107.887
21.373 107.877
21.369 107.869
21.369 107.85
21.363 107.84
21.362 107.836
21.364 107.835
21.372 107.844
21.379 107.864
21.377 107.867
21.377 107.873
21.379 107.877
21.381 107.879
21.381 107.892
21.38 107.896
21.38 107.9
21.378 107.907
21.38 107.909
21.385 107.93
21.392 107.943
21.393 107.957
21.397 107.971
21.398 107.989
21.398 108.002
21.394 108.003
21.391 108.002
21.387 107.989
21.381 107.98
21.379 107.973
21.368 107.961
21.358 107.953
21.355 107.947
21.354 107.94
21.356 107.934
21.358 107.936
21.359 107.944
21.362 107.946
21.368 107.943
21.366 107.94
21.368 107.936
21.363 107.931
21.361 107.927
21.36 107.921
21.359 107.916
21.36 107.914
21.354 107.884
21.346 107.862
21.339 107.854
21.339 107.85
21.344 107.847
21.354 107.852
21.355 107.853
21.351 107.855
21.35 107.858
21.355 107.864
21.356 107.873
21.358 107.875
21.36 107.87
21.363 107.875
segment Vietnam
21.361 107.75
21.365 107.746
21.368 107.747
21.371 107.75
21.372 107.755
21.371 107.758
21.363 107.765
21.361 107.75
segment Vietnam
21.304 107.715
21.309 107.72
21.314 107.731
21.321 107.739
21.325 107.751
21.331 107.764
21.332 107.767
21.328 107.769
21.33 107.773
21.337 107.774
21.35 107.797
21.353 107.806
21.358 107.814
21.358 107.818
21.354 107.82
21.35 107.819
21.347 107.818
21.345 107.815
21.345 107.81
21.336 107.804
21.33 107.797
21.326 107.787
21.322 107.783
21.322 107.772
21.32 107.768
21.315 107.761
21.312 107.755
21.306 107.75
21.306 107.744
21.303 107.739
21.309 107.738
21.311 107.734
21.303 107.716
21.304 107.715
segment Vietnam
21.277 107.669
21.279 107.674
21.283 107.676
21.287 107.675
21.29 107.677
21.29 107.683
21.297 107.691
21.299 107.703
21.296 107.704
21.293 107.701
21.29 107.691
21.285 107.688
21.284 107.684
21.271 107.67
21.265 107.659
21.266 107.658
21.269 107.659
21.275 107.668
21.277 107.669
segment Vietnam
21.283 107.758
21.286 107.757
21.29 107.758
21.29 107.761
21.294 107.768
21.296 107.799
21.293 107.794
21.292 107.774
21.283 107.758
segment Vietnam
21.267 107.534
21.268 107.531
21.277 107.529
21.285 107.533
21.286 107.535
21.284 107.538
21.284 107.543
21.281 107.552
21.283 107.559
21.28 107.561
21.278 107.56
21.273 107.54
21.269 107.539
21.267 107.534
segment Vietnam
21.277 107.669
21.271 107.657
21.272 107.656
21.275 107.655
21.276 107.658
21.28 107.66
21.28 107.664
21.283 107.668
21.282 107.67
21.277 107.669
segment Vietnam
21.252 107.561
21.254 107.555
21.258 107.558
21.259 107.556
21.258 107.549
21.259 107.543
21.263 107.54
21.267 107.543
21.27 107.548
21.273 107.557
21.275 107.57
21.274 107.574
21.268 107.581
21.262 107.592
21.256 107.578
21.255 107.574
21.257 107.567
21.252 107.561
segment Vietnam
21.095 107.4
21.093 107.392
21.093 107.389
21.095 107.388
21.104 107.401
21.109 107.405
21.128 107.416
21.131 107.419
21.132 107.425
21.136 107.421
21.141 107.428
21.143 107.423
21.146 107.421
21.149 107.422
21.153 107.432
21.154 107.431
21.154 107.43
21.154 107.419
21.159 107.418
21.172 107.421
21.174 107.422
21.177 107.418
21.181 107.418
21.195 107.433
21.183 107.441
21.172 107.442
21.176 107.447
21.199 107.44
21.204 107.442
21.205 107.445
21.2 107.446
21.196 107.446
21.197 107.451
21.196 107.453
21.192 107.456
21.193 107.459
21.192 107.463
21.186 107.465
21.186 107.467
21.19 107.47
21.19 107.474
21.188 107.479
21.189 107.482
21.191 107.483
21.195 107.467
21.197 107.464
21.198 107.457
21.201 107.453
21.206 107.449
21.218 107.449
21.222 107.452
21.213 107.457
21.213 107.461
21.221 107.458
21.231 107.454
21.244 107.456
21.253 107.462
21.258 107.458
21.265 107.464
21.271 107.465
21.27 107.475
21.268 107.479
21.258 107.485
21.254 107.49
21.25 107.498
21.243 107.502
21.242 107.506
21.236 107.51
21.235 107.515
21.232 107.517
21.232 107.52
21.223 107.52
21.222 107.521
21.225 107.525
21.225 107.528
21.218 107.531
21.214 107.535
21.21 107.534
21.204 107.539
21.202 107.538
21.205 107.53
21.205 107.525
21.201 107.528
21.196 107.541
21.193 107.54
21.19 107.545
21.19 107.548
21.196 107.549
21.193 107.551
21.192 107.554
21.199 107.557
21.2 107.564
21.197 107.569
21.204 107.577
21.205 107.586
21.214 107.596
21.218 107.604
21.217 107.608
21.22 107.612
21.217 107.615
21.215 107.615
21.212 107.612
21.204 107.61
21.199 107.603
21.185 107.595
21.175 107.576
21.169 107.575
21.166 107.568
21.159 107.567
21.156 107.562
21.154 107.559
21.155 107.555
21.15 107.553
21.147 107.548
21.147 107.544
21.149 107.542
21.154 107.541
21.159 107.542
21.16 107.538
21.15 107.534
21.151 107.524
21.15 107.521
21.148 107.52
21.144 107.523
21.141 107.52
21.139 107.516
21.135 107.513
21.133 107.509
21.132 107.508
21.123 107.51
21.12 107.508
21.109 107.488
21.108 107.486
21.102 107.479
21.089 107.474
21.086 107.47
21.086 107.464
21.091 107.46
21.091 107.457
21.082 107.446
21.073 107.432
21.055 107.414
21.052 107.408
21.051 107.401
21.044 107.388
21.045 107.386
21.046 107.386
21.057 107.388
21.061 107.392
21.067 107.389
21.067 107.385
21.071 107.382
21.066 107.379
21.068 107.376
21.077 107.373
21.079 107.374
21.075 107.385
21.079 107.388
21.085 107.387
21.088 107.389
21.091 107.399
21.092 107.4
21.095 107.4
segment Vietnam
21.254 107.631
21.25 107.633
21.251 107.64
21.249 107.64
21.242 107.623
21.234 107.615
21.236 107.61
21.24 107.61
21.238 107.598
21.239 107.599
21.242 107.602
21.243 107.608
21.245 107.611
21.249 107.62
21.254 107.623
21.253 107.628
21.258 107.635
21.259 107.64
21.258 107.642
21.254 107.631
segment Vietnam
21.214 107.418
21.212 107.411
21.213 107.401
21.211 107.4
21.21 107.401
21.209 107.405
21.206 107.407
21.204 107.411
21.199 107.407
21.198 107.403
21.191 107.401
21.19 107.401
21.188 107.396
21.19 107.392
21.184 107.39
21.184 107.379
21.187 107.374
21.196 107.372
21.219 107.378
21.221 107.384
21.238 107.386
21.248 107.392
21.252 107.398
21.252 107.403
21.254 107.411
21.254 107.415
21.252 107.413
21.244 107.403
21.241 107.404
21.247 107.412
21.246 107.416
21.251 107.418
21.252 107.421
21.251 107.428
21.257 107.437
21.251 107.437
21.232 107.433
21.229 107.43
21.229 107.427
21.223 107.422
21.223 107.419
21.22 107.416
21.221 107.405
21.219 107.404
21.218 107.405
21.214 107.418
segment Vietnam
21.231 107.978
21.232 107.972
21.231 107.97
21.231 107.964
21.235 107.96
21.234 107.955
21.236 107.953
21.241 107.957
21.248 107.972
21.249 107.976
21.241 107.982
21.235 107.983
21.232 107.981
21.231 107.978
segment Vietnam
21.22 107.689
21.222 107.689
21.234 107.697
21.231 107.699
21.228 107.697
21.221 107.691
21.22 107.689
segment Vietnam
21.224 107.587
21.225 107.585
21.226 107.586
21.231 107.602
21.23 107.602
21.228 107.601
21.224 107.594
21.224 107.587
segment Vietnam
21.215 107.683
21.211 107.683
21.205 107.679
21.191 107.677
21.185 107.677
21.169 107.67
21.161 107.669
21.151 107.671
21.143 107.668
21.141 107.665
21.141 107.66
21.15 107.659
21.164 107.663
21.178 107.664
21.182 107.666
21.185 107.668
21.193 107.669
21.208 107.676
21.215 107.683
segment Vietnam
21.206 107.573
21.205 107.571
21.208 107.572
21.213 107.583
21.212 107.585
21.206 107.573
segment Vietnam
21.186 107.417
21.186 107.414
21.188 107.414
21.199 107.427
21.208 107.431
21.212 107.436
21.212 107.439
21.201 107.432
21.186 107.417
segment Vietnam
21.13 107.404
21.131 107.401
21.153 107.394
21.164 107.396
21.178 107.403
21.178 107.408
21.176 107.411
21.142 107.414
21.136 107.413
21.13 107.404
segment Vietnam
21.152 107.857
21.155 107.855
21.161 107.865
21.159 107.866
21.157 107.864
21.152 107.857
segment Vietnam
21.126 107.513
21.13 107.513
21.134 107.519
21.142 107.527
21.145 107.533
21.144 107.539
21.142 107.54
21.138 107.536
21.132 107.524
21.127 107.516
21.126 107.513
segment Vietnam
21.12 107.565
21.125 107.561
21.129 107.562
21.131 107.566
21.137 107.569
21.135 107.574
21.135 107.578
21.138 107.585
21.137 107.587
21.133 107.583
21.126 107.579
21.124 107.574
21.12 107.569
21.12 107.565
segment Vietnam
21.126 107.634
21.123 107.635
21.1 107.623
21.072 107.612
21.064 107.612
21.05 107.603
21.036 107.602
21.026 107.594
21.01 107.589
20.992 107.584
20.979 107.576
20.972 107.567
20.978 107.566
20.986 107.569
20.987 107.574
20.995 107.579
20.996 107.573
20.998 107.57
21.001 107.569
21.01 107.574
21.028 107.578
21.03 107.579
21.026 107.583
21.032 107.586
21.035 107.59
21.039 107.592
21.041 107.591
21.042 107.587
21.046 107.586
21.051 107.59
21.064 107.589
21.07 107.59
21.087 107.602
21.091 107.608
21.097 107.611
21.102 107.617
21.111 107.619
21.126 107.634
segment Vietnam
21.087 107.562
21.077 107.563
21.075 107.562
21.071 107.548
21.067 107.545
21.068 107.543
21.076 107.539
21.079 107.532
21.086 107.535
21.088 107.54
21.092 107.541
21.095 107.54
21.101 107.548
21.108 107.55
21.113 107.553
21.117 107.558
21.113 107.561
21.113 107.565
21.114 107.57
21.118 107.577
21.119 107.581
21.116 107.582
21.11 107.584
21.108 107.58
21.105 107.577
21.101 107.581
21.085 107.572
21.085 107.569
21.087 107.562
segment Vietnam
21.104 107.809
21.105 107.807
21.106 107.808
21.11 107.815
21.115 107.818
21.116 107.823
21.113 107.825
21.11 107.823
21.104 107.809
segment Vietnam
21.069 107.506
21.072 107.501
21.074 107.503
21.073 107.507
21.076 107.51
21.076 107.517
21.073 107.518
21.072 107.517
21.072 107.512
21.069 107.506
segment Vietnam
21.037 107.503
21.041 107.498
21.043 107.499
21.044 107.502
21.05 107.504
21.056 107.51
21.056 107.512
21.059 107.515
21.059 107.52
21.065 107.528
21.069 107.53
21.073 107.533
21.066 107.534
21.065 107.538
21.062 107.539
21.059 107.537
21.058 107.535
21.056 107.534
21.056 107.528
21.05 107.52
21.051 107.513
21.042 107.508
21.041 107.505
21.037 107.503
segment Vietnam
21.054 107.562
21.056 107.555
21.059 107.555
21.062 107.553
21.069 107.56
21.065 107.561
21.06 107.559
21.054 107.562
segment Vietnam
21.034 107.769
21.035 107.767
21.039 107.769
21.045 107.77
21.044 107.775
21.05 107.78
21.049 107.782
21.046 107.782
21.041 107.785
21.039 107.78
21.035 107.777
21.036 107.773
21.034 107.769
segment Vietnam
20.985 107.823
20.986 107.819
20.997 107.808
21.008 107.812
21.01 107.816
21.014 107.819
21.018 107.819
21.023 107.824
21.031 107.827
21.033 107.829
21.033 107.83
21.033 107.835
21.046 107.84
21.04 107.848
21.041 107.853
21.044 107.857
21.043 107.86
21.041 107.862
21.034 107.86
21.031 107.866
21.025 107.855
21.02 107.853
21.022 107.85
21.021 107.847
21.018 107.844
21.01 107.839
21.009 107.836
21.001 107.835
20.998 107.825
20.995 107.823
20.985 107.823
segment Vietnam
21.03 107.552
21.025 107.552
21.02 107.548
21.003 107.547
20.995 107.554
20.985 107.549
20.986 107.542
20.984 107.54
20.982 107.543
20.975 107.54
20.975 107.536
20.972 107.536
20.968 107.539
20.947 107.529
20.939 107.525
20.93 107.524
20.924 107.52
20.92 107.507
20.917 107.501
20.917 107.497
20.915 107.493
20.917 107.484
20.912 107.483
20.913 107.476
20.908 107.465
20.908 107.454
20.909 107.452
20.915 107.449
20.914 107.445
20.908 107.433
20.906 107.427
20.904 107.419
20.901 107.413
20.894 107.408
20.895 107.404
20.892 107.399
20.899 107.398
20.903 107.4
20.904 107.409
20.909 107.419
20.917 107.425
20.917 107.436
20.925 107.441
20.931 107.448
20.933 107.454
20.943 107.467
20.944 107.471
20.945 107.477
20.958 107.483
20.961 107.487
20.958 107.49
20.98 107.492
20.976 107.487
20.986 107.481
20.985 107.487
20.986 107.489
20.994 107.494
21.016 107.511
21.01 107.512
21.002 107.509
20.99 107.505
20.985 107.505
20.984 107.507
20.994 107.509
21.02 107.521
21.024 107.527
21.04 107.538
21.026 107.539
21.022 107.541
21.018 107.54
21.015 107.542
21.03 107.552
segment Vietnam
21.02 107.139
21.023 107.138
21.028 107.14
21.027 107.15
21.02 107.139
segment Vietnam
20.949 107.745
20.959 107.751
20.96 107.756
20.967 107.76
20.968 107.762
20.971 107.766
20.974 107.766
20.98 107.761
20.989 107.751
20.991 107.742
20.993 107.741
21 107.742
21.002 107.737
21.007 107.734
21.018 107.74
21.024 107.747
21.024 107.75
21.018 107.751
21.015 107.754
21.015 107.763
20.995 107.784
20.991 107.788
20.983 107.786
20.983 107.784
20.987 107.783
20.997 107.775
20.999 107.77
20.993 107.765
20.99 107.766
20.985 107.763
