segment Chad
15.029 22.814
15.006 22.792
15 22.784
14.994 22.777
14.985 22.767
14.972 22.757
14.965 22.753
14.955 22.751
14.95 22.75
14.945 22.75
14.937 22.75
14.936 22.753
14.919 22.759
14.917 22.759
14.91 22.76
14.903 22.757
14.899 22.752
14.897 22.744
14.895 22.741
14.897 22.726
14.896 22.72
14.891 22.704
14.875 22.685
14.859 22.675
14.849 22.671
14.826 22.68
14.815 22.684
14.761 22.701
14.738 22.711
14.706 22.718
14.691 22.721
14.686 22.717
14.65 22.617
14.65 22.616
14.635 22.532
14.635 22.523
14.63 22.503
14.626 22.492
14.625 22.489
14.624 22.482
14.616 22.467
14.607 22.456
14.597 22.452
14.605 22.447
14.605 22.443
14.597 22.431
14.596 22.426
14.597 22.415
14.596 22.411
14.566 22.403
14.566 22.402
14.562 22.403
14.553 22.397
14.507 22.384
14.504 22.387
14.508 22.401
14.505 22.41
14.501 22.418
14.497 22.429
14.487 22.442
14.483 22.448
14.472 22.45
14.431 22.443
14.426 22.443
14.419 22.441
14.365 22.444
14.364 22.445
14.359 22.45
14.357 22.455
14.329 22.462
14.324 22.46
14.32 22.446
14.312 22.435
14.303 22.429
14.292 22.428
14.284 22.432
14.276 22.438
14.267 22.446
14.232 22.479
14.235 22.49
14.242 22.501
14.244 22.509
14.244 22.517
14.231 22.555
14.23 22.558
14.209 22.553
14.184 22.579
14.176 22.576
14.128 22.543
14.119 22.536
14.11 22.504
14.066 22.453
14.057 22.44
14.051 22.431
14.05 22.426
14.05 22.393
14.023 22.367
14.018 22.358
14.017 22.352
14.011 22.328
14.01 22.327
14.005 22.32
13.975 22.292
13.964 22.263
13.947 22.232
13.938 22.225
13.916 22.21
13.856 22.149
13.844 22.139
13.835 22.132
13.824 22.126
13.822 22.122
13.776 22.092
13.766 22.091
13.753 22.1
13.743 22.11
13.742 22.114
13.733 22.124
13.728 22.125
13.722 22.124
13.716 22.129
13.7 22.125
13.693 22.119
13.689 22.118
13.685 22.116
13.668 22.12
13.664 22.123
13.653 22.135
13.629 22.143
13.622 22.146
13.616 22.152
13.616 22.157
13.617 22.161
13.603 22.168
13.599 22.167
13.596 22.17
13.592 22.179
13.588 22.181
13.582 22.196
13.566 22.214
13.561 22.215
13.549 22.222
13.538 22.222
13.508 22.217
13.488 22.222
13.487 22.221
13.471 22.216
13.469 22.218
13.452 22.221
13.447 22.224
13.445 22.232
13.443 22.234
13.436 22.238
13.423 22.239
13.417 22.241
13.408 22.248
13.407 22.26
13.404 22.264
13.391 22.279
13.387 22.279
13.382 22.283
13.374 22.283
13.35 22.284
13.342 22.275
13.328 22.261
13.317 22.254
13.305 22.244
13.303 22.244
13.299 22.236
13.293 22.23
13.285 22.227
13.275 22.221
13.271 22.21
13.252 22.195
13.245 22.184
13.215 22.172
13.21 22.168
13.196 22.154
13.193 22.146
13.172 22.138
13.168 22.135
13.164 22.128
13.16 22.109
13.159 22.093
13.161 22.088
13.16 22.083
13.157 22.079
13.146 22.075
13.143 22.072
13.143 22.064
13.138 22.051
13.138 22.046
13.139 22.02
13.136 22.014
13.131 22.01
13.109 22.007
13.103 22.003
13.099 21.994
13.091 21.982
13.073 21.965
13.07 21.956
13.068 21.947
13.055 21.939
13.05 21.933
13.047 21.926
13.042 21.927
13.036 21.933
13.03 21.931
13.018 21.931
13.009 21.926
13.002 21.911
12.982 21.899
12.966 21.891
12.927 21.879
12.924 21.879
12.89 21.86
12.882 21.853
12.872 21.851
12.85 21.85
12.837 21.848
12.809 21.84
12.808 21.84
12.798 21.839
12.786 21.843
12.772 21.853
12.755 21.86
12.734 21.858
12.72 21.866
12.709 21.88
12.701 21.885
12.698 21.886
12.686 21.888
12.665 21.915
12.639 21.934
12.636 21.941
12.639 21.96
12.639 21.982
12.637 22.033
12.658 22.108
12.666 22.136
12.679 22.165
12.693 22.184
12.707 22.195
12.733 22.197
12.75 22.198
12.719 22.254
12.703 22.277
12.7 22.286
12.697 22.287
12.694 22.292
12.661 22.359
12.648 22.39
12.641 22.409
12.638 22.417
12.631 22.451
12.624 22.458
12.62 22.459
12.565 22.441
12.554 22.437
12.509 22.42
12.495 22.413
12.492 22.407
12.478 22.395
12.445 22.375
12.442 22.372
12.434 22.372
12.429 22.374
12.426 22.375
12.424 22.378
12.423 22.388
12.42 22.394
12.402 22.409
12.388 22.422
12.379 22.424
12.361 22.419
12.356 22.42
12.348 22.426
12.339 22.426
12.33 22.429
12.318 22.432
12.31 22.434
12.289 22.443
12.272 22.444
12.229 22.466
12.22 22.476
12.203 22.477
12.192 22.483
12.182 22.486
12.148 22.492
12.116 22.491
12.112 22.491
12.092 22.487
12.08 22.489
12.07 22.483
12.059 22.482
12.03 22.471
12.026 22.457
12.019 22.471
12.019 22.478
12.02 22.492
12.032 22.513
12.037 22.518
12.039 22.524
12.045 22.531
12.053 22.551
12.054 22.558
12.051 22.564
12.052 22.577
12.056 22.586
12.054 22.596
12.051 22.611
12.058 22.635
12.056 22.638
12.048 22.639
12.027 22.635
11.975 22.622
11.878 22.598
11.852 22.592
11.787 22.577
11.729 22.562
11.696 22.556
11.694 22.555
11.687 22.554
11.621 22.566
11.608 22.576
11.591 22.591
11.589 22.594
11.581 22.6
11.576 22.603
11.54 22.636
11.536 22.642
11.516 22.662
11.515 22.662
11.494 22.709
11.493 22.713
11.479 22.742
11.475 22.754
11.456 22.773
11.451 22.778
11.438 22.788
11.403 22.789
11.413 22.858
11.415 22.871
11.415 22.899
11.418 22.939
11.417 22.945
11.378 22.948
11.323 22.951
11.312 22.953
11.31 22.964
11.306 22.965
11.296 22.982
11.269 22.984
11.268 22.984
11.2 22.986
11.188 22.982
11.181 22.978
11.146 22.967
11.142 22.966
11.137 22.963
11.091 22.945
11.088 22.938
11.032 22.918
11.01 22.91
11.006 22.907
10.993 22.904
10.955 22.889
10.947 22.888
10.931 22.881
10.932 22.866
10.931 22.853
10.934 22.847
10.934 22.817
10.945 22.776
10.944 22.769
10.95 22.761
10.953 22.76
10.962 22.756
10.971 22.745
10.974 22.734
10.972 22.711
10.972 22.703
10.975 22.697
10.975 22.695
10.98 22.683
10.98 22.682
10.979 22.656
10.99 22.632
10.997 22.612
10.997 22.604
10.99 22.584
10.988 22.577
10.984 22.573
10.984 22.569
10.988 22.561
10.994 22.553
11.008 22.521
11.007 22.509
11.003 22.497
10.997 22.494
10.999 22.487
11.001 22.477
10.999 22.469
10.991 22.461
10.988 22.457
10.988 22.443
10.981 22.433
10.974 22.431
10.971 22.424
10.972 22.414
10.971 22.402
10.962 22.384
10.969 22.377
10.958 22.37
10.956 22.356
10.956 22.327
10.954 22.324
10.944 22.313
10.936 22.298
10.931 22.29
10.931 22.282
10.923 22.266
10.926 22.251
10.925 22.245
10.918 22.236
10.913 22.222
10.911 22.205
10.909 22.196
10.9 22.183
10.884 22.175
10.881 22.159
10.879 22.156
10.876 22.152
10.878 22.144
10.881 22.121
10.883 22.117
10.88 22.112
10.881 22.105
10.883 22.099
10.891 22.088
10.895 22.082
10.896 22.074
10.889 22.06
10.889 22.049
10.884 22.042
10.883 22.036
10.886 22.029
10.886 22.026
10.886 22.021
10.885 22.017
10.873 22.002
10.874 21.989
10.864 21.983
10.863 21.978
10.868 21.971
10.871 21.962
10.86 21.963
10.858 21.96
10.857 21.953
10.86 21.949
10.869 21.945
10.869 21.942
10.858 21.943
10.856 21.943
10.852 21.94
10.853 21.934
10.86 21.927
10.872 21.921
10.873 21.913
10.866 21.909
10.863 21.904
10.863 21.899
10.87 21.887
10.87 21.881
10.868 21.878
10.854 21.872
10.847 21.865
10.845 21.857
10.846 21.849
10.848 21.844
10.838 21.842
10.839 21.833
10.824 21.819
10.821 21.818
10.81 21.814
10.809 21.81
10.802 21.803
10.798 21.791
10.795 21.788
10.787 21.788
10.777 21.791
10.763 21.786
10.752 21.784
10.74 21.788
10.732 21.79
10.722 21.786
10.713 21.788
10.708 21.787
10.706 21.783
10.703 21.783
10.695 21.789
10.688 21.789
10.678 21.787
10.669 21.789
10.665 21.782
10.659 21.781
10.654 21.77
10.647 21.765
10.642 21.759
10.643 21.753
10.646 21.749
10.656 21.741
10.656 21.736
10.654 21.734
10.648 21.733
10.629 21.732
10.612 21.733
10.597 21.727
10.576 21.729
10.561 21.733
10.554 21.733
10.539 21.73
10.529 21.721
10.527 21.721
10.508 21.718
10.501 21.72
10.478 21.733
10.47 21.744
10.464 21.751
10.458 21.753
10.453 21.751
10.444 21.759
10.439 21.758
10.427 21.754
10.42 21.758
10.418 21.77
10.412 21.771
10.404 21.767
10.382 21.743
10.372 21.741
10.367 21.74
10.354 21.741
10.357 21.728
10.347 21.723
10.343 21.723
10.341 21.724
10.33 21.73
10.32 21.737
10.313 21.734
10.308 21.73
10.302 21.728
10.298 21.725
10.296 21.719
10.279 21.71
10.276 21.706
10.276 21.694
10.279 21.682
10.278 21.676
10.274 21.675
10.271 21.676
10.265 21.682
10.264 21.683
10.262 21.68
10.259 21.675
10.257 21.664
10.253 21.661
10.249 21.663
10.248 21.669
10.242 21.674
10.238 21.676
10.234 21.673
10.232 21.668
10.234 21.649
10.227 21.641
10.227 21.637
10.227 21.633
10.231 21.628
10.231 21.622
10.218 21.611
10.218 21.61
10.213 21.597
10.212 21.589
10.211 21.589
10.215 21.585
10.215 21.579
10.21 21.561
10.214 21.554
10.225 21.548
10.228 21.544
10.227 21.537
10.216 21.523
10.195 21.512
10.19 21.51
10.187 21.505
10.187 21.494
10.171 21.491
10.165 21.488
10.163 21.481
10.159 21.476
10.152 21.468
10.149 21.471
10.144 21.472
10.136 21.469
10.128 21.462
10.127 21.455
10.124 21.45
10.119 21.448
10.112 21.451
10.111 21.454
10.107 21.455
10.1 21.453
10.087 21.455
10.083 21.453
10.083 21.445
10.081 21.441
10.073 21.438
10.063 21.438
10.059 21.437
10.054 21.433
10.049 21.432
10.047 21.43
10.05 21.42
10.048 21.416
10.041 21.408
10.034 21.404
10.03 21.403
10.021 21.404
10.017 21.402
10.013 21.396
10.001 21.394
10 21.393
9.992 21.385
9.985 21.377
9.984 21.373
9.984 21.369
9.988 21.364
9.989 21.362
9.985 21.359
9.97 21.355
9.966 21.348
9.964 21.341
9.965 21.336
9.972 21.33
9.971 21.324
9.972 21.321
9.974 21.319
9.985 21.317
9.99 21.309
9.973 21.305
9.969 21.302
9.968 21.298
9.971 21.294
9.975 21.293
9.977 21.288
9.979 21.287
9.986 21.283
9.994 21.263
9.99 21.254
9.986 21.251
9.975 21.249
9.969 21.243
9.965 21.242
9.96 21.237
9.958 21.234
9.951 21.215
9.948 21.213
9.941 21.213
9.936 21.212
9.931 21.203
9.93 21.203
9.926 21.201
9.909 21.204
9.901 21.203
9.895 21.199
9.891 21.193
9.89 21.19
9.892 21.184
9.884 21.177
9.866 21.152
9.848 21.133
9.832 21.122
9.819 21.117
9.812 21.116
9.802 21.118
9.801 21.118
9.792 21.115
9.785 21.108
9.777 21.093
9.776 21.085
9.779 21.079
9.779 21.074
9.765 21.063
9.766 21.058
9.773 21.049
9.777 21.039
9.774 21.03
9.769 21.025
9.765 21.024
9.762 21.024
9.759 21.025
9.741 21.038
9.738 21.039
9.732 21.036
9.728 21.031
9.729 21.021
9.732 21.01
9.747 20.995
9.735 20.992
9.727 20.993
9.716 21.001
9.706 21.004
9.702 21.002
9.701 20.981
9.705 20.974
9.706 20.972
9.706 20.969
9.702 20.968
9.698 20.97
9.695 20.974
9.694 20.988
9.691 20.994
9.685 20.999
9.679 20.995
9.665 20.981
9.661 20.981
9.657 20.986
9.655 20.994
9.65 20.996
9.646 20.994
9.644 20.989
9.645 20.982
9.648 20.975
9.647 20.97
9.646 20.97
9.643 20.967
9.639 20.969
9.636 20.972
9.634 20.987
9.627 20.991
9.621 20.988
9.617 20.978
9.619 20.961
9.619 20.954
9.616 20.951
9.614 20.95
9.587 20.955
9.576 20.954
9.573 20.953
9.568 20.952
9.563 20.944
9.571 20.937
9.572 20.931
9.571 20.927
9.564 20.924
9.554 20.924
9.545 20.919
9.541 20.919
9.533 20.922
9.528 20.919
9.525 20.915
9.528 20.906
9.528 20.899
9.526 20.895
9.525 20.877
9.523 20.875
9.52 20.874
9.515 20.877
9.511 20.874
9.507 20.869
9.499 20.864
9.487 20.866
9.484 20.863
9.482 20.855
9.486 20.85
9.484 20.845
9.48 20.839
9.463 20.827
9.451 20.825
9.441 20.828
9.43 20.827
9.429 20.82
9.428 20.817
9.443 20.804
9.443 20.798
9.442 20.793
9.429 20.78
9.428 20.768
9.425 20.767
9.415 20.77
9.408 20.768
9.401 20.761
9.399 20.754
9.399 20.748
9.402 20.745
9.402 20.74
9.397 20.734
9.397 20.732
9.397 20.729
9.402 20.719
9.402 20.713
9.395 20.705
9.396 20.701
9.399 20.692
9.398 20.667
9.395 20.663
9.367 20.652
9.347 20.65
9.346 20.65
9.342 20.648
9.34 20.641
9.341 20.63
9.339 20.626
9.335 20.624
9.331 20.625
9.328 20.628
9.326 20.638
9.323 20.641
9.318 20.638
9.316 20.604
9.32 20.6
9.329 20.594
9.333 20.588
9.34 20.584
9.341 20.583
9.343 20.581
9.343 20.578
9.341 20.576
9.333 20.571
9.33 20.567
9.33 20.561
9.337 20.549
9.334 20.543
9.333 20.541
9.337 20.535
9.337 20.529
9.332 20.525
9.319 20.527
9.313 20.527
9.308 20.524
9.305 20.518
9.303 20.508
9.307 20.496
9.305 20.496
9.297 20.491
9.292 20.492
9.279 20.498
9.272 20.498
9.241 20.483
9.221 20.47
9.214 20.468
9.173 20.456
9.166 20.45
9.16 20.444
9.154 20.434
9.153 20.41
9.151 20.393
9.148 20.388
9.143 20.382
9.14 20.378
9.128 20.353
9.128 20.346
9.133 20.337
9.132 20.332
9.126 20.325
9.124 20.318
9.122 20.303
9.122 20.281
9.122 20.274
9.124 20.265
9.124 20.262
9.132 20.248
9.146 20.239
9.147 20.229
9.152 20.221
9.151 20.207
9.139 20.191
9.138 20.18
9.139 20.153
9.141 20.147
9.138 20.139
9.138 20.131
9.143 20.117
9.146 20.113
9.153 20.109
9.156 20.105
9.157 20.101
9.15 20.093
9.139 20.088
9.133 20.081
9.132 20.071
9.142 20.058
9.143 20.053
9.141 20.048
9.14 20.047
9.128 20.036
9.127 20.03
9.128 20.018
9.126 20.012
9.124 20.011
9.119 20.01
9.112 20.011
9.105 20.009
9.103 20.007
9.113 20
9.116 19.998
9.096 19.987
9.092 19.98
9.089 19.957
9.088 19.942
9.087 19.939
9.084 19.935
9.079 19.933
9.068 19.931
9.061 19.927
9.063 19.919
9.068 19.905
9.062 19.894
9.061 19.886
9.064 19.883
9.063 19.878
9.066 19.872
9.065 19.865
9.06 19.857
9.054 19.849
9.044 19.842
9.043 19.836
9.045 19.833
9.05 19.829
9.064 19.822
9.059 19.812
9.057 19.804
9.056 19.798
9.059 19.789
9.059 19.78
9.059 19.779
9.057 19.773
9.05 19.763
9.049 19.76
9.049 19.744
9.044 19.735
9.044 19.721
9.041 19.72
9.029 19.704
9.028 19.702
9.029 19.684
9.021 19.672
9.02 19.667
9.024 19.659
9.024 19.647
9.018 19.631
9.021 19.614
9.019 19.602
9.031 19.586
9.037 19.582
9.04 19.578
9.039 19.573
9.036 19.569
9.037 19.559
9.035 19.554
9.023 19.543
9.019 19.535
9.016 19.523
9.017 19.517
9.02 19.515
9.032 19.512
9.034 19.507
9.034 19.501
9.032 19.499
9.021 19.497
9.018 19.494
9.018 19.493
9.018 19.491
9.021 19.488
9.015 19.483
9.014 19.479
9.018 19.474
9.018 19.459
9.026 19.458
9.025 19.451
9.029 19.441
9.031 19.439
9.026 19.432
9.026 19.428
9.028 19.421
9.025 19.414
9.026 19.401
9.019 19.396
9.018 19.396
9.017 19.389
9.018 19.379
9.013 19.366
9.013 19.358
9.016 19.355
9.02 19.338
9.011 19.322
9.008 19.309
9.008 19.302
9.012 19.29
9.012 19.275
9.013 19.27
9.018 19.264
9.021 19.262
9.026 19.253
9.026 19.241
9.029 19.236
9.027 19.225
9.028 19.222
9.031 19.218
9.022 19.192
9.022 19.188
9.025 19.18
9.024 19.175
9.017 19.17
9.015 19.162
9.014 19.157
9.009 19.151
9.007 19.141
9.004 19.135
9.007 19.127
9.005 19.125
9.007 19.121
9.009 19.105
9.01 19.101
9.02 19.096
9.02 19.092
9.015 19.078
9.004 19.076
9.005 19.07
9.005 19.067
8.996 19.059
8.998 19.051
8.994 19.043
8.997 19.028
8.995 19.023
8.991 19.019
8.982 19.014
8.978 19.01
8.977 19.004
8.979 19
8.98 18.999
8.979 18.993
8.975 18.988
8.968 18.984
8.954 18.981
8.948 18.977
8.942 18.976
8.94 18.969
8.936 18.966
8.934 18.962
8.928 18.96
8.927 18.957
8.928 18.953
8.931 18.948
8.931 18.943
8.926 18.933
8.926 18.923
8.923 18.919
8.913 18.912
8.898 18.905
8.901 18.896
8.901 18.889
8.898 18.887
8.896 18.889
8.894 18.892
8.892 18.893
8.89 18.893
8.881 18.882
8.881 18.88
8.876 18.868
8.871 18.866
8.866 18.866
8.862 18.867
8.853 18.862
8.851 18.864
8.85 18.866
8.849 18.869
8.843 18.871
8.841 18.874
8.841 18.879
8.84 18.881
8.844 18.881
8.848 18.884
8.851 18.889
8.852 18.894
8.851 18.901
8.847 18.906
8.842 18.907
8.821 18.907
8.815 18.907
8.807 18.91
8.803 18.917
8.8 18.923
8.81 18.936
8.813 18.943
8.813 18.947
8.809 18.952
8.793 18.957
8.788 18.96
8.786 18.963
8.781 18.97
8.774 18.985
8.769 18.997
8.77 19
8.766 19.014
8.761 19.02
8.736 19.033
8.727 19.042
8.716 19.06
8.713 19.071
8.711 19.081
8.71 19.082
8.7 19.1
8.699 19.105
8.694 19.105
8.686 19.109
8.678 19.116
8.675 19.121
8.671 19.122
8.669 19.121
8.665 19.113
8.661 19.1
8.658 19.097
8.652 19.094
8.65 19.091
8.649 19.084
8.641 19.078
8.64 19.07
8.637 19.066
8.617 19.063
8.611 19.058
8.603 19.049
8.602 19.049
8.597 19.046
8.575 19.046
8.562 19.042
8.554 19.042
8.549 19.033
8.538 19.032
8.532 19.029
8.527 19.023
8.528 19.016
8.523 19.014
8.524 19.008
8.517 19.002
8.516 19
8.515 18.992
8.513 18.99
8.511 18.989
8.508 18.991
8.5 18.997
8.489 18.989
8.487 18.981
8.483 18.977
8.482 18.973
8.477 18.971
8.468 18.973
8.464 18.97
8.46 18.957
8.447 18.944
8.442 18.937
8.437 18.932
8.433 18.931
8.428 18.932
8.426 18.93
8.427 18.924
8.424 18.922
8.421 18.921
8.413 18.923
8.409 18.921
8.406 18.917
8.403 18.92
8.401 18.927
8.4 18.927
8.396 18.924
8.393 18.924
8.39 18.924
8.388 18.919
8.387 18.911
8.384 18.908
8.377 18.91
8.374 18.903
8.371 18.9
8.366 18.901
8.364 18.9
8.366 18.892
8.367 18.887
8.366 18.885
8.364 18.884
8.357 18.888
8.355 18.886
8.356 18.88
8.354 18.877
8.348 18.873
8.345 18.874
8.341 18.876
8.342 18.868
8.347 18.857
8.348 18.853
8.347 18.851
8.342 18.854
8.336 18.855
8.335 18.856
8.324 18.857
8.315 18.855
8.305 18.851
8.298 18.843
8.296 18.84
8.289 18.837
8.284 18.83
8.281 18.824
8.276 18.82
8.268 18.81
8.261 18.804
8.26 18.797
8.255 18.786
8.249 18.78
8.247 18.774
8.245 18.764
8.241 18.748
8.24 18.748
8.24 18.74
8.237 18.735
8.232 18.711
8.222 18.69
8.214 18.681
8.212 18.674
8.206 18.667
8.195 18.658
8.186 18.658
8.177 18.653
8.164 18.641
8.146 18.63
8.141 18.628
8.131 18.629
8.121 18.631
8.091 18.637
8.083 18.635
8.078 18.628
8.074 18.624
8.064 18.623
8.06 18.625
8.052 18.618
8.05 18.613
8.049 18.605
8.047 18.602
8.046 18.57
8.044 18.55
8.041 18.502
8.039 18.488
8.038 18.482
8.038 18.457
8.036 18.454
8.037 18.45
8.036 18.424
8.034 18.421
8.033 18.413
8.034 18.402
8.028 18.342
8.029 18.33
8.027 18.316
8.026 18.305
8.024 18.274
8.021 18.27
8.022 18.254
8.018 18.192
8.015 18.164
8.015 18.156
8.013 18.122
8.011 18.047
8.009 18.032
8.004 18.024
8 18.018
7.986 18
7.993 17.996
7.963 17.945
7.959 17.931
7.959 17.922
7.965 17.847
7.972 17.798
7.972 17.796
7.973 17.772
7.977 17.741
7.978 17.733
7.979 17.716
7.977 17.713
7.97 17.707
7.969 17.703
7.979 17.698
7.982 17.694
7.984 17.683
7.983 17.672
7.981 17.668
7.979 17.664
7.974 17.658
7.97 17.657
7.962 17.659
7.946 17.649
7.943 17.645
7.945 17.633
7.943 17.63
7.937 17.627
7.927 17.617
7.926 17.61
7.929 17.606
7.933 17.601
7.933 17.597
7.924 17.585
7.912 17.579
7.909 17.574
7.908 17.569
7.909 17.567
7.913 17.565
7.92 17.564
7.923 17.562
7.923 17.551
7.921 17.547
7.915 17.542
7.904 17.539
7.891 17.539
7.887 17.537
7.887 17.531
7.889 17.529
7.891 17.527
7.891 17.523
7.869 17.515
7.868 17.511
7.874 17.506
7.886 17.485
7.893 17.477
7.895 17.473
7.894 17.468
7.884 17.46
7.882 17.455
7.883 17.449
7.878 17.447
7.872 17.45
7.869 17.449
7.868 17.449
7.866 17.446
7.866 17.441
7.868 17.439
7.876 17.436
7.877 17.433
7.876 17.421
7.871 17.418
7.868 17.419
7.863 17.424
7.859 17.424
7.861 17.415
7.867 17.412
7.866 17.409
7.858 17.404
7.852 17.404
7.847 17.405
7.843 17.403
7.844 17.398
7.851 17.394
7.848 17.38
7.847 17.376
7.85 17.369
7.849 17.365
7.84 17.359
7.841 17.345
7.837 17.341
7.822 17.336
7.82 17.333
7.821 17.328
7.828 17.315
7.828 17.309
7.824 17.305
7.817 17.303
7.809 17.304
7.806 17.301
